season,player_name,team,season_type,stat,stat_with_player_on,stat_with_player_off,difference_with_playeron_vs_playeroff
2025,Natasha Cloud,NYL,regular season,2pt FGM Assist%,0.661,0.694,-0.03
2025,Natasha Cloud,NYL,regular season,Non Putback 2pt FGM Assist%,0.697,0.742,-0.04
2025,Natasha Cloud,NYL,regular season,3pt FGM Assist%,0.891,0.843,0.05
2025,Natasha Cloud,NYL,regular season,3pt FG%,0.352,0.361,-0.01
2025,Natasha Cloud,NYL,regular season,Non-Heave 3pt FG%,0.355,0.364,-0.01
2025,Natasha Cloud,NYL,regular season,2pt FG%,0.536,0.49,0.05
2025,Natasha Cloud,NYL,regular season,eFG%,0.533,0.511,0.02
2025,Natasha Cloud,NYL,regular season,TS%,0.578,0.559,0.02
2025,Natasha Cloud,NYL,regular season,3PAr,0.412,0.407,0.01
2025,Natasha Cloud,NYL,regular season,% of FG3A Blocked,0.01,0.013,0
2025,Natasha Cloud,NYL,regular season,% of FG2A Blocked,0.077,0.078,0
2025,Natasha Cloud,NYL,regular season,Live Ball TO%,0.525,0.471,0.05
2025,Natasha Cloud,NYL,regular season,DReb% - Missed FTs,0.81,0.5,0.31
2025,Natasha Cloud,NYL,regular season,OReb% - Missed FTs,0.114,0.1,0.01
2025,Natasha Cloud,NYL,regular season,DReb% - Missed 2s,0.708,0.654,0.05
2025,Natasha Cloud,NYL,regular season,OReb% - Missed 2s,0.228,0.284,-0.05
2025,Natasha Cloud,NYL,regular season,DReb% - Missed 3s,0.717,0.745,-0.03
2025,Natasha Cloud,NYL,regular season,OReb% - Missed 3s,0.208,0.297,-0.09
2025,Natasha Cloud,NYL,regular season,DReb% - Missed FGs,0.712,0.692,0.02
2025,Natasha Cloud,NYL,regular season,OReb% - Missed FGs,0.218,0.29,-0.07
2025,Natasha Cloud,NYL,regular season,At Rim OReb%,0.259,0.394,-0.14
2025,Natasha Cloud,NYL,regular season,Short Mid-Range OReb%,0.231,0.263,-0.03
2025,Natasha Cloud,NYL,regular season,Long Mid-Range OReb%,0.169,0.162,0.01
2025,Natasha Cloud,NYL,regular season,Arc 3 OReb%,0.209,0.28,-0.07
