team_name,team_abbr,rank,team_grade,median_value_score,mean_value_score,hidden_value_count,n_undervalued,n_overvalued_adj,total_salary
Las Vegas Aces,LVA,1,A,46.24,45.72,0,4,9,5612500.0
New York Liberty,NYL,2,A,44.01,45.97,0,1,18,5428510.0
Phoenix Mercury,PHX,3,A,44.01,45.16,0,1,25,4838600.0
Minnesota Lynx,MIN,4,B,44.01,44.46,0,2,20,6163323.0
Washington Mystics,WAS,5,B,44.01,43.68,0,3,17,3772900.0
Connecticut Sun,CON,6,B,44.01,43.65,0,3,19,4767448.0
Chicago Sky,CHI,7,C,44.01,43.65,0,4,18,6585832.0
Atlanta Dream,ATL,8,C,44.01,43.18,0,2,16,5955692.0
Toronto Tempo,TOR,9,C,44.01,42.62,0,3,22,5206957.0
Dallas Wings,DAL,10,D,43.96,42.55,0,6,16,6660213.0
Los Angeles Sparks,LAS,11,D,43.74,43.86,0,1,11,5531350.0
Golden State Valkyries,GSV,12,D,43.58,42.88,0,5,15,6183510.0
Portland Fire,POR,13,F,43.26,42.04,0,5,18,4260909.0
Seattle Storm,SEA,14,F,43.16,41.77,0,5,18,5182707.0
Indiana Fever,IND,15,F,41.42,41.56,0,5,14,6428846.0
