player_id,player_name,team_name,team_abbreviation,position_group,archetype_label,salary_tier_final,salary,expected_salary,effective_expected_salary,salary_gap,salary_gap_pct,production_score,salary_efficiency_score,scarcity_score,playoff_score,onoff_score,value_score,value_tier,undervalued_adj,overvalued_adj,hidden_value_flag_adj,league_rank_value_score,position_rank_value_score,sal_eff_quintile
1628277,Allisha Gray,Atlanta Dream,ATL,Guard,Scoring Guard,Max / Protected Veteran Top Tier,1190000.0,1100000.0,1100000.0,90000.0,0.0818181818181818,64.79,45.91,50.36,50.99,50.0,55.37,Fair Value,False,False,False,30,12.0,Q3
1642291,Angel Reese,Atlanta Dream,ATL,Forward,Connector Wing,Low Rotation / Rookie Scale,350692.0,331563.0,331563.0,19129.0,0.0576934096989109,62.03,47.12,45.32,50.04,50.0,53.8,Fair Value,False,False,False,42,11.0,Q3
1628280,Brionna Jones,Atlanta Dream,ATL,Forward,Rebounding Forward,Premium Starter,1000000.0,1000000.0,1000000.0,0.0,0.0,65.51,50.0,45.32,58.55,50.0,56.81,Fair Value,False,False,False,23,6.0,Q4
player:indya_nivar__atlanta_dream,Indya Nivar,Atlanta Dream,ATL,,Rotation Forward,Minimum / Training Camp / Draftee Band,270000.0,270000.0,270000.0,0.0,0.0,50.2,50.0,0.0,50.04,50.0,44.09,Risk,False,False,False,90,,Q4
1628886,Jordin Canada,Atlanta Dream,ATL,Guard,Primary Creator,High/Mid Starter,650000.0,625000.0,625000.0,25000.0,0.04,59.51,48.0,50.36,44.06,50.0,52.96,Fair Value,False,False,False,46,19.0,Q3
1631044,Naz Hillmon,Atlanta Dream,ATL,Forward,Usage Forward,High/Mid Starter,840000.0,1000000.0,1000000.0,-160000.0,-0.16,56.63,58.0,45.32,50.36,50.0,54.18,Fair Value,False,False,False,39,9.0,Q5 (Best)
1631009,Rhyne Howard,Atlanta Dream,ATL,Guard,Scoring Guard,Premium Starter,1100000.0,1085000.0,1085000.0,15000.0,0.0138248847926267,68.39,49.31,50.36,51.62,50.0,57.76,Fair Value,False,False,False,19,8.0,Q4
1642814,Taylor Thierry,Atlanta Dream,ATL,,Rotation Forward,Minimum / Training Camp / Draftee Band,277500.0,277500.0,277500.0,0.0,0.0,28.17,50.0,45.32,13.8,50.0,36.65,Risk,False,True,False,127,,Q4
1642804,Te-Hina Paopao,Atlanta Dream,ATL,Guard,Primary Creator,Minimum / Training Camp / Draftee Band,277500.0,410000.0,410000.0,-132500.0,-0.3231707317073171,56.31,66.16,50.36,33.34,50.0,54.91,Fair Value,True,False,False,31,13.0,Q5 (Best)
1628922,Azurá Stevens,Chicago Sky,CHI,,Rotation Forward,Premium Starter,1000000.0,950000.0,950000.0,50000.0,0.0526315789473684,63.09,47.37,45.32,50.04,50.0,54.31,Fair Value,False,False,False,37,,Q3
202664,Courtney Vandersloot,Chicago Sky,CHI,Guard,Primary Creator,High/Mid Starter,750000.0,925000.0,925000.0,-175000.0,-0.1891891891891892,59.69,59.46,50.36,79.98,50.0,59.38,Fair Value,False,False,False,12,6.0,Q5 (Best)
1630096,DiJonai Carrington,Chicago Sky,CHI,,Rotation Forward,High/Mid Starter,650000.0,700000.0,700000.0,-50000.0,-0.0714285714285714,58.07,53.57,45.32,73.68,50.0,56.05,Fair Value,False,False,False,26,,Q5 (Best)
204322,Elizabeth Williams,Chicago Sky,CHI,,Rotation Forward,High/Mid Starter,600000.0,300000.0,300000.0,300000.0,1.0,56.65,0.0,45.32,27.67,50.0,38.0,Risk,False,True,False,125,,Q1 (Worst)
player:gabriela_jaquez__chicago_sky,Gabriela Jaquez,Chicago Sky,CHI,,Rotation Forward,Low Rotation / Rookie Scale,380219.0,355058.0,355058.0,25161.0,0.0708644784795723,50.2,46.46,0.0,50.04,50.0,43.24,Risk,False,True,False,99,,Q3
1642817,Hailey Van Lith,Chicago Sky,CHI,Guard,Scoring Guard,Minimum / Training Camp / Draftee Band,289133.0,277500.0,277500.0,11633.0,0.0419207207207207,39.52,47.9,50.36,50.04,50.0,45.14,Risk,False,False,False,84,38.0,Q3
1642292,Jacy Sheldon,Chicago Sky,CHI,Guard,Scoring Guard,Mid-Tier Rotation,402155.0,289133.0,289133.0,113022.0,0.390899689762151,50.51,30.46,50.36,50.04,50.0,45.57,Risk,False,False,False,82,36.0,Q1 (Worst)
1642289,Kamilla Cardoso,Chicago Sky,CHI,Center,Rim Protector,Mid-Tier Rotation,461171.0,466913.0,466913.0,-5742.0,-0.0122977942357569,62.38,50.61,88.49,50.04,50.0,59.97,Fair Value,False,False,False,10,3.0,Q4
1642818,Maddy Westbeld,Chicago Sky,CHI,Forward,Usage Forward,Minimum / Training Camp / Draftee Band,277500.0,277500.0,277500.0,0.0,0.0,39.47,50.0,45.32,50.04,50.0,45.02,Risk,False,False,False,85,24.0,Q4
1627671,Rachel Banham,Chicago Sky,CHI,Guard,Scoring Guard,Mid-Tier Rotation,425000.0,283316.5,283316.5,141683.5,0.5000891229420101,40.11,25.0,50.36,34.6,50.0,38.35,Risk,False,True,False,123,47.0,Q1 (Worst)
1642288,Rickea Jackson,Chicago Sky,CHI,Forward,Usage Forward,Mid-Tier Rotation,430654.0,500000.0,500000.0,-69346.0,-0.138692,41.07,56.93,45.32,50.04,50.0,47.36,Risk,False,False,False,77,22.0,Q5 (Best)
203400,Skylar Diggins,Chicago Sky,CHI,Guard,Primary Creator,Premium Starter,920000.0,1100000.0,1100000.0,-180000.0,-0.1636363636363636,59.73,58.18,50.36,36.49,50.0,54.74,Fair Value,False,False,False,33,15.0,Q5 (Best)
1642290,Aaliyah Edwards,Connecticut Sun,CON,Forward,Usage Forward,Low Rotation / Rookie Scale,375542.0,325000.0,325000.0,50542.0,0.1555138461538461,41.04,42.22,45.32,50.04,50.0,43.81,Risk,False,True,False,94,26.0,Q2
1642800,Aneesah Morrow,Connecticut Sun,CON,Forward,Rebounding Forward,Low Rotation / Rookie Scale,331563.0,277500.0,277500.0,54063.0,0.1948216216216216,49.31,40.26,45.32,50.04,50.0,46.82,Risk,False,False,False,79,23.0,Q2
203398,Brittney Griner,Connecticut Sun,CON,Center,Rim Protector,Max / Protected Veteran Top Tier,1190000.0,466913.0,1095000.0,95000.0,0.0867579908675799,50.66,45.66,88.49,42.8,50.0,53.13,Fair Value,False,False,False,44,9.0,Q2
1641649,Diamond Miller,Connecticut Sun,CON,Forward,Usage Forward,Mid-Tier Rotation,536588.0,277500.0,277500.0,259088.0,0.9336504504504504,35.41,3.32,45.32,55.4,50.0,32.65,Overvalued,False,True,False,129,34.0,Q1 (Worst)
1629568,Kennedy Burke,Connecticut Sun,CON,,Rotation Forward,Premium Starter,1000000.0,500000.0,500000.0,500000.0,1.0,50.41,0.0,45.32,56.03,50.0,38.21,Risk,False,True,False,124,,Q1 (Worst)
player:leila_lacan__connecticut_sun,Leila Lacan,Connecticut Sun,CON,Guard,Scoring Guard,Minimum / Training Camp / Draftee Band,289133.0,277500.0,277500.0,11633.0,0.0419207207207207,50.2,47.9,50.36,50.04,50.0,49.63,Risk,False,False,False,63,28.0,Q3
1631135,Olivia Nelson-Ododa,Connecticut Sun,CON,Center,Rim Protector,High/Mid Starter,735000.0,466913.0,466913.0,268087.0,0.5741690636157057,64.18,21.29,88.49,69.9,50.0,55.67,Fair Value,False,False,False,28,8.0,Q1 (Worst)
1642809,Saniya Rivers,Connecticut Sun,CON,Guard,Scoring Guard,Low Rotation / Rookie Scale,309622.0,277500.0,277500.0,32122.0,0.1157549549549549,60.31,44.21,50.36,50.04,50.0,52.99,Fair Value,False,False,False,45,18.0,Q2
1629501,Alanna Smith,Dallas Wings,DAL,Forward,Connector Wing,Max / Protected Veteran Top Tier,1190000.0,1190000.0,1190000.0,0.0,0.0,68.47,50.0,45.32,78.72,50.0,60.07,Fair Value,False,False,False,9,2.0,Q4
1629481,Arike Ogunbowale,Dallas Wings,DAL,Guard,Scoring Guard,Max / Protected Veteran Top Tier,1190000.0,1100000.0,1100000.0,90000.0,0.0818181818181818,47.7,45.91,50.36,46.58,50.0,47.75,Risk,False,False,False,73,34.0,Q3
1630386,Awak Kuier,Dallas Wings,DAL,,Rotation Forward,Mid-Tier Rotation,525000.0,348750.0,348750.0,176250.0,0.5053763440860215,34.67,24.73,0.0,41.54,50.0,30.65,Overvalued,False,True,False,131,,Q1 (Worst)
1642793,Aziaha James,Dallas Wings,DAL,Guard,Scoring Guard,Minimum / Training Camp / Draftee Band,289133.0,289133.0,289133.0,0.0,0.0,53.18,50.0,50.36,50.04,50.0,51.38,Fair Value,False,False,False,51,21.0,Q4
player:azzi_fudd__dallas_wings,Azzi Fudd,Dallas Wings,DAL,,Rotation Forward,Mid-Tier Rotation,500000.0,436016.0,436016.0,63984.0,0.146746908370335,50.2,42.66,0.0,50.04,50.0,42.33,Risk,False,True,False,106,,Q2
1642808,JJ Quinerly,Dallas Wings,DAL,Guard,Primary Creator,Minimum / Training Camp / Draftee Band,277500.0,394566.5,394566.5,-117066.5,-0.2966965010967733,54.28,64.83,50.36,50.04,50.0,55.4,Fair Value,True,False,False,29,11.0,Q5 (Best)
1629491,Jessica Shepard,Dallas Wings,DAL,Forward,Connector Wing,Premium Starter,1000000.0,1000000.0,1000000.0,0.0,0.0,53.72,50.0,45.32,48.47,50.0,50.85,Fair Value,False,False,False,55,16.0,Q4
