player_name,team_name,team_abbreviation,salary_efficiency_score,value_score,value_tier,salary,salary_tier_final,rank,team_grade
Allisha Gray,Atlanta Dream,ATL,45.91,55.37,Fair Value,1190000.0,Max / Protected Veteran Top Tier,2,A
Angel Reese,Atlanta Dream,ATL,47.12,53.8,Fair Value,350692.0,Low Rotation / Rookie Scale,2,A
Brionna Jones,Atlanta Dream,ATL,50.0,56.81,Fair Value,1000000.0,Premium Starter,2,A
Indya Nivar,Atlanta Dream,ATL,50.0,44.09,Risk,270000.0,Minimum / Training Camp / Draftee Band,2,A
Jordin Canada,Atlanta Dream,ATL,48.0,52.96,Fair Value,650000.0,High/Mid Starter,2,A
Naz Hillmon,Atlanta Dream,ATL,58.0,54.18,Fair Value,840000.0,High/Mid Starter,2,A
Rhyne Howard,Atlanta Dream,ATL,49.31,57.76,Fair Value,1100000.0,Premium Starter,2,A
Taylor Thierry,Atlanta Dream,ATL,50.0,36.65,Risk,277500.0,Minimum / Training Camp / Draftee Band,2,A
Te-Hina Paopao,Atlanta Dream,ATL,66.16,54.91,Fair Value,277500.0,Minimum / Training Camp / Draftee Band,2,A
Azurá Stevens,Chicago Sky,CHI,47.37,54.31,Fair Value,1000000.0,Premium Starter,13,F
Courtney Vandersloot,Chicago Sky,CHI,59.46,59.38,Fair Value,750000.0,High/Mid Starter,13,F
DiJonai Carrington,Chicago Sky,CHI,53.57,56.05,Fair Value,650000.0,High/Mid Starter,13,F
Elizabeth Williams,Chicago Sky,CHI,0.0,38.0,Risk,600000.0,High/Mid Starter,13,F
Gabriela Jaquez,Chicago Sky,CHI,46.46,43.24,Risk,380219.0,Low Rotation / Rookie Scale,13,F
Hailey Van Lith,Chicago Sky,CHI,47.9,45.14,Risk,289133.0,Minimum / Training Camp / Draftee Band,13,F
Jacy Sheldon,Chicago Sky,CHI,30.46,45.57,Risk,402155.0,Mid-Tier Rotation,13,F
Kamilla Cardoso,Chicago Sky,CHI,50.61,59.97,Fair Value,461171.0,Mid-Tier Rotation,13,F
Maddy Westbeld,Chicago Sky,CHI,50.0,45.02,Risk,277500.0,Minimum / Training Camp / Draftee Band,13,F
Rachel Banham,Chicago Sky,CHI,25.0,38.35,Risk,425000.0,Mid-Tier Rotation,13,F
Rickea Jackson,Chicago Sky,CHI,56.93,47.36,Risk,430654.0,Mid-Tier Rotation,13,F
Skylar Diggins,Chicago Sky,CHI,58.18,54.74,Fair Value,920000.0,Premium Starter,13,F
Aaliyah Edwards,Connecticut Sun,CON,42.22,43.81,Risk,375542.0,Low Rotation / Rookie Scale,10,D
Aneesah Morrow,Connecticut Sun,CON,40.26,46.82,Risk,331563.0,Low Rotation / Rookie Scale,10,D
Brittney Griner,Connecticut Sun,CON,45.66,53.13,Fair Value,1190000.0,Max / Protected Veteran Top Tier,10,D
Diamond Miller,Connecticut Sun,CON,3.32,32.65,Overvalued,536588.0,Mid-Tier Rotation,10,D
Kennedy Burke,Connecticut Sun,CON,0.0,38.21,Risk,1000000.0,Premium Starter,10,D
Leila Lacan,Connecticut Sun,CON,47.9,49.63,Risk,289133.0,Minimum / Training Camp / Draftee Band,10,D
Olivia Nelson-Ododa,Connecticut Sun,CON,21.29,55.67,Fair Value,735000.0,High/Mid Starter,10,D
Saniya Rivers,Connecticut Sun,CON,44.21,52.99,Fair Value,309622.0,Low Rotation / Rookie Scale,10,D
Alanna Smith,Dallas Wings,DAL,50.0,60.07,Fair Value,1190000.0,Max / Protected Veteran Top Tier,11,D
Arike Ogunbowale,Dallas Wings,DAL,45.91,47.75,Risk,1190000.0,Max / Protected Veteran Top Tier,11,D
Awak Kuier,Dallas Wings,DAL,24.73,30.65,Overvalued,525000.0,Mid-Tier Rotation,11,D
Aziaha James,Dallas Wings,DAL,50.0,51.38,Fair Value,289133.0,Minimum / Training Camp / Draftee Band,11,D
Azzi Fudd,Dallas Wings,DAL,42.66,42.33,Risk,500000.0,Mid-Tier Rotation,11,D
JJ Quinerly,Dallas Wings,DAL,64.83,55.4,Fair Value,277500.0,Minimum / Training Camp / Draftee Band,11,D
Jessica Shepard,Dallas Wings,DAL,50.0,50.85,Fair Value,1000000.0,Premium Starter,11,D
Lindsay Allen,Dallas Wings,DAL,46.05,45.54,Risk,410000.0,Mid-Tier Rotation,11,D
Maddy Siegrist,Dallas Wings,DAL,35.55,44.99,Risk,501080.0,Mid-Tier Rotation,11,D
Paige Bueckers,Dallas Wings,DAL,69.23,65.96,Strong Value,500000.0,Mid-Tier Rotation,11,D
Rayah Marshall,Dallas Wings,DAL,57.31,47.75,Risk,277500.0,Minimum / Training Camp / Draftee Band,11,D
