player_name,player_id,player_id_source,pbpstats_player_id,espn_wehoop_player_id,espn_athlete_id,team_2026,team_2026_abbr,parquet_team_display_name,parquet_team_abbreviation,position_abbreviation,position,position_full,height_raw_source,height_inches,height_ft_in,age_2026,player_college,player_country,date_of_birth,parquet_status_name,parquet_status_type,bio_match_method,age_match_method,parquet_name_match_flag,raw_position_name_match_flag,wbb_box_name_match_flag,player_bios_2025_age_match_flag,raw_age_name_match_flag,parquet_match_method,parquet_team_crosscheck_flag,synthetic_id_flag,team_changed_from_bio_flag,missing_age_flag,missing_height_flag,missing_position_flag,name_alias_flag,notes
Hailey Van Lith,1642817,team_roster_history,1642817,,4433412,Chicago Sky,CHI,Connecticut Sun,CONNECTICU,G,Guard,Guard,"5' 9""",69,"5'9""",24,,,2001-09-09T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
Ashlon Jackson,player:ashlon_jackson__golden_state_valkyries,synthetic_name,,,5106232,Golden State Valkyries,GSV,Connecticut Sun,CONNECTICU,G,Guard,Guard,"6' 0""",72,"6'0""",22,,,2004-01-06T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Kate Martin,1642324,team_roster_history,1642324,,4398907,Golden State Valkyries,GSV,Los Angeles Sparks,LA,G,Guard,Guard,"6' 0""",72,"6'0""",25,,,2000-06-05T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
Mariella Fasoula,player:mariella_fasoula__golden_state_valkyries,synthetic_name,,,3904479,Golden State Valkyries,GSV,Toronto Tempo,TOR,C,Center,Center,"6' 5""",77,"6'5""",28,,,1997-09-02T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Marta Suárez,player:marta_su_rez__golden_state_valkyries,synthetic_name,,,4704594,Golden State Valkyries,GSV,Phoenix Mercury,PHX,F,Forward,Forward,"6' 3""",75,"6'3""",24,,,2002-05-07T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Julie Vanloo,1642210,team_roster_history,1642210,,2566110,Los Angeles Sparks,LAS,New York Liberty,NY,G,Guard,Guard,"5' 8""",68,"5'8""",33,,,1993-02-10T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
Aubrey Griffin,player:aubrey_griffin__minnesota_lynx,synthetic_name,,,4432844,Minnesota Lynx,MIN,New York Liberty,NY,F,Forward,Forward,"6' 1""",73,"6'1""",24,,,2001-11-06T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Anneli Maley,player:anneli_maley__new_york_liberty,synthetic_name,,,4281930,New York Liberty,NYL,Phoenix Mercury,PHX,F,Forward,Forward,"6' 1""",73,"6'1""",27,,,1998-09-01T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Natasha Cloud,204333,team_roster_history,204333,,2529137,New York Liberty,NYL,Chicago Sky,CHI,G,Guard,Guard,"5' 10""",70,"5'10""",34,,,1992-02-22T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
Ashten Prechtel,player:ashten_prechtel__phoenix_mercury,synthetic_name,,,4433634,Phoenix Mercury,PHX,Golden State Valkyries,GS,F,Forward,Forward,"6' 5""",77,"6'5""",24,,,2001-05-11T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,True,True,False,False,False,False,synthetic_framework_id; parquet_name_exact_match; parquet_team_differs_from_master_team
Maya Caldwell,1630471,team_roster_history,1630471,,4280850,Portland Fire,POR,Minnesota Lynx,MIN,G,Guard,Guard,"5' 11""",71,"5'11""",27,,,1998-12-15T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
Aaliyah Nye,1642801,team_roster_history,1642801,,4597509,Toronto Tempo,TOR,Atlanta Dream,ATL,G,Guard,Guard,"6' 0""",72,"6'0""",23,,,2002-08-14T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,True,False,True,False,False,False,False,parquet_name_exact_match; parquet_team_differs_from_master_team
