player_id,player_name,player_name_key,season,player_team,position_full,position,jersey_number,player_age,age_2026,player_height_raw,height_inches,weight_lbs,player_college,player_country,gp_2025,pts_2025,reb_2025,ast_2025,net_rtg_2025,oreb_pct,dreb_pct,usage_pct_bio,ts_pct_bio,ast_pct_bio
1628932,A'ja Wilson,ajawilson,2025,LVA,Center,C,22,29.0,30.0,6-4,76.0,195.0,South Carolina,USA,40.0,23.4,10.2,3.1,11.7,0.074,0.249,0.307,0.596,0.187
1642290,Aaliyah Edwards,aaliyahedwards,2025,CON,Forward,F,24,23.0,24.0,6-3,75.0,,Connecticut,Canada,36.0,5.4,3.7,0.6,-9.1,0.086,0.175,0.188,0.504,0.072
1642801,Aaliyah Nye,aaliyahnye,2025,LVA,,,,23.0,24.0,6-0,72.0,,Alabama,USA,44.0,3.8,1.5,0.5,-1.8,0.022,0.077,0.132,0.473,0.059
1630462,Aari McDonald,aarimcdonald,2025,IND,Guard,G,2,27.0,28.0,5-6,66.0,141.0,Arizona,USA,20.0,9.8,2.4,4.7,3.6,0.017,0.079,0.182,0.555,0.2789999999999999
,Aerial Powers,aerialpowers,2025,IND,Guard,G,23,32.0,33.0,5-11,71.0,170.0,Michigan State,USA,10.0,7.4,3.9,2.0,15.3,0.0559999999999999,0.188,0.214,0.504,0.192
,Ajae Petty,ajaepetty,2025,DAL,Center,C,5,23.0,24.0,6-2,74.0,190.0,Ohio State,USA,2.0,0.0,0.5,0.0,-21.4,0.0,0.125,0.0,0.0,0.0
1629501,Alanna Smith,alannasmith,2025,MIN,Forward,F,8,29.0,30.0,6-4,76.0,177.0,Stanford,Australia,42.0,9.6,5.1,2.9,11.6,0.062,0.136,0.172,0.563,0.162
,Alexis Prince,alexisprince,2025,PHX,Forward,F,TBD,32.0,33.0,6-2,74.0,178.0,Baylor,USA,1.0,2.0,8.0,1.0,13.1,0.0,0.32,0.125,0.3329999999999999,0.071
1642293,Alissa Pili,alissapili,2025,LAS,Forward,F,24,24.0,25.0,5-11,71.0,235.0,Utah,USA,19.0,2.3,1.0,0.2,5.3,0.044,0.143,0.182,0.621,0.06
1641648,Aliyah Boston,aliyahboston,2025,IND,,,,24.0,25.0,6-5,77.0,220.0,South Carolina,USA,44.0,15.0,8.2,3.7,7.3,0.084,0.2,0.215,0.58,0.204
1628277,Allisha Gray,allishagray,2025,ATL,Guard,G,15,31.0,32.0,6-0,72.0,167.0,South Carolina,USA,42.0,18.4,5.3,3.5,9.2,0.025,0.129,0.216,0.598,0.173
202252,Alysha Clark,alyshaclark,2025,WAS,Forward,F,32,38.0,39.0,5-11,71.0,167.0,Middle Tennessee,USA,42.0,3.9,2.8,1.2,-10.1,0.02,0.127,0.104,0.478,0.0969999999999999
203826,Alyssa Thomas,alyssathomas,2025,PHX,Forward,F,25,34.0,35.0,6-2,74.0,203.0,Maryland,USA,39.0,15.4,8.8,9.2,8.2,0.052,0.23,0.238,0.568,0.502
1629539,Amy Okonkwo,amyokonkwo,2025,DAL,Forward,F,0,29.0,30.0,6-2,74.0,,Texas Christian,USA,8.0,11.0,3.1,0.8,-6.8,0.042,0.127,0.207,0.63,0.065
1642797,Anastasiia Olairi Kosu,anastasiiaolairikosu,2025,MIN,Forward,F,7,21.0,22.0,6-1,73.0,190.0,,Russia,21.0,1.7,0.7,0.2,17.2,0.133,0.065,0.217,0.492,0.102
1642800,Aneesah Morrow,aneesahmorrow,2025,CON,Forward,F,24,23.0,24.0,6-1,73.0,,Louisiana State,,41.0,7.7,6.9,0.5,-9.1,0.099,0.265,0.212,0.461,0.049
1642291,Angel Reese,angelreese,2025,CHI,Forward,F,5,24.0,25.0,6-3,75.0,165.0,Louisiana State,USA,30.0,14.7,12.6,3.7,-10.3,0.129,0.261,0.233,0.537,0.206
1628878,Ariel Atkins,arielatkins,2025,CHI,Guard,G,7,29.0,30.0,5-10,70.0,167.0,Texas-Austin,USA,34.0,13.1,3.4,3.6,-8.7,0.024,0.093,0.216,0.551,0.218
1629481,Arike Ogunbowale,arikeogunbowale,2025,DAL,Guard,G,24,29.0,30.0,5-8,68.0,165.0,Notre Dame,USA,29.0,15.5,2.5,4.1,-5.9,0.01,0.066,0.221,0.494,0.211
1642793,Aziaha James,aziahajames,2025,DAL,Guard,G,10,23.0,24.0,5-10,70.0,,North Carolina State,USA,38.0,7.5,2.9,1.6,-9.3,0.048,0.119,0.211,0.462,0.149
1628922,Azura Stevens,azurastevens,2025,LAS,,,,30.0,31.0,6-6,78.0,180.0,Connecticut,USA,44.0,12.8,8.0,2.1,-3.8,0.062,0.228,0.187,0.596,0.124
1627668,Breanna Stewart,breannastewart,2025,NYL,Forward,F,30,31.0,32.0,6-4,76.0,170.0,Connecticut,USA,31.0,18.3,6.5,3.5,10.4,0.035,0.168,0.261,0.57,0.209
,Bree Hall,breehall,2025,IND,Guard,G,3,22.0,23.0,6-1,73.0,161.0,South Carolina,,4.0,0.8,0.8,0.0,29.4,0.0,0.12,0.237,0.237,0.0
203829,Bria Hartley,briahartley,2025,CON,Guard,G,14,33.0,34.0,5-9,69.0,163.0,Connecticut,USA,38.0,8.9,2.0,3.1,-15.1,0.012,0.078,0.201,0.505,0.241
1629488,Brianna Turner,briannaturner,2025,IND,,,,29.0,30.0,6-3,75.0,175.0,Notre Dame,USA,27.0,1.1,1.9,0.6,-0.3,0.074,0.146,0.084,0.422,0.1159999999999999
1629524,Bridget Carleton,bridgetcarleton,2025,MIN,Forward,F,6,28.0,29.0,6-2,74.0,177.0,Iowa State,Canada,44.0,6.5,3.6,2.0,11.8,0.034,0.0969999999999999,0.109,0.5379999999999999,0.1009999999999999
1628280,Brionna Jones,brionnajones,2025,ATL,Forward,F,24,30.0,31.0,6-3,75.0,215.0,Maryland,USA,44.0,12.8,7.3,2.2,11.7,0.113,0.158,0.201,0.581,0.142
203398,Brittney Griner,brittneygriner,2025,ATL,Center,C,42,35.0,36.0,6-9,81.0,205.0,Baylor,USA,39.0,9.8,5.2,0.8,1.2,0.045,0.204,0.215,0.564,0.075
1628279,Brittney Sykes,brittneysykes,2025,SEA,Guard,G,20,32.0,33.0,5-9,69.0,154.0,Syracuse,USA,39.0,14.1,3.2,4.0,-0.1,0.017,0.089,0.237,0.497,0.221
1642286,Caitlin Clark,caitlinclark,2025,IND,Guard,G,22,24.0,25.0,6-0,72.0,157.0,Iowa,USA,13.0,16.5,5.0,8.8,9.1,0.003,0.142,0.287,0.491,0.418
1642287,Cameron Brink,cameronbrink,2025,LAS,Forward,F,22,24.0,25.0,6-4,76.0,170.0,Stanford,USA,19.0,5.1,4.3,0.5,-11.9,0.102,0.204,0.198,0.526,0.068
,Camryn Taylor,camryntaylor,2025,MIN,Forward,F,20,26.0,27.0,6-1,73.0,190.0,Virginia,USA,6.0,0.5,1.0,0.2,8.2,0.087,0.2,0.193,0.19,0.063
1642304,Carla Leite,carlaleite,2025,GSV,Guard,G,0,22.0,23.0,5-9,69.0,,,France,37.0,7.2,1.3,2.0,5.7,0.015,0.0579999999999999,0.223,0.505,0.23
1628508,Cecilia Zandalasini,ceciliazandalasini,2025,GSV,Forward,F,24,30.0,31.0,6-2,74.0,175.0,,Italy,19.0,10.5,2.9,1.7,5.6,0.012,0.1159999999999999,0.195,0.606,0.139
203833,Chelsea Gray,chelseagray,2025,LVA,Guard,G,12,33.0,34.0,5-11,71.0,170.0,Duke,USA,44.0,11.2,3.9,5.4,7.0,0.019,0.107,0.175,0.5720000000000001,0.267
