league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name,is_playoffs,job_variant,request_scope
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,0,202259,Epiphanny Prince,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,1,202664,Courtney Vandersloot,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,2,203828,Stefanie Dolson,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,3,203866,Kayla Thornton,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,4,204335,Betnijah Laney,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,5,1627668,Breanna Stewart,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,6,1627673,Jonquel Jones,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,7,1629477,Sabrina Ionescu,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,8,1629546,Marine Johannès,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661313'}",discovery,1611661313,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661313__f79e5941,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661313,200,9,1629566,Han Xu,False,team_player_catalog,team
