league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name,is_playoffs,job_variant,request_scope
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,0,203827,Natasha Howard,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,1,1630101,Crystal Dangerfield,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,2,1631029,Jasmine Dickey,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,3,1641653,Ashley Joens,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,4,1629480,Kalani Brown,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,5,203824,Odyssey Sims,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,6,1641661,Lou Lopez Sénéchal,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,7,1629479,Teaira McCowan,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,8,1630149,Satou Sabally,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,9,1629481,Arike Ogunbowale,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,10,1630386,Awak Kuier,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,11,1641652,Maddy Siegrist,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,12,1628890,Diamond DeShields,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661321__dc7779ff,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661321,200,13,1631007,Veronica Burton,False,team_player_catalog,team
