league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name,is_playoffs,job_variant,request_scope
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,0,203825,Kayla McBride,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,1,203831,Natalie Achonwa,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,2,1627671,Rachel Banham,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,3,1627672,Aerial Powers,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,4,1627676,Tiffany Mitchell,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,5,1628263,Lindsay Allen,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,6,1629483,Napheesa Collier,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,7,1629491,Jessica Shepard,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,8,1629524,Bridget Carleton,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,9,1631083,Emily Engstler,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,10,1631263,Nikolina Milic,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,11,1641649,Diamond Miller,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,12,1641657,Dorka Juhász,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661324'}",discovery,1611661324,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661324__4556c780,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661324,200,13,1641672,Kayana Traylor,False,team_player_catalog,team
