league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name,is_playoffs,job_variant,request_scope
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,0,203035,Shey Peddy,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,1,203824,Odyssey Sims,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,2,204324,Dearica Hamby,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,3,1627700,Julie Allemand,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,4,1628242,Emma Cannon,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,5,1628276,Kelsey Plum,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,6,1628920,Mercedes Russell,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,7,1628922,Azurá Stevens,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,8,1630996,Rae Burrell,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,9,1641658,Grace Berger,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661320__179fd0df,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661320,200,10,1642210,Julie Vanloo,False,team_player_catalog,team
