league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name,is_playoffs,job_variant,request_scope
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,0,201886,DeWanna Bonner,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,1,202641,Sydney Colson,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,2,203024,Damiris Dantas,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,3,203035,Shey Peddy,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,4,203824,Odyssey Sims,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,5,203827,Natasha Howard,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,6,1627672,Aerial Powers,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,7,1628909,Kelsey Mitchell,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,8,1629482,Sophie Cunningham,False,team_player_catalog,team
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661325'}",discovery,1611661325,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661325__b4f1f266,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661325,200,9,1629488,Brianna Turner,False,team_player_catalog,team
