league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,0,201886,DeWanna Bonner
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,1,203826,Alyssa Thomas
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,2,203838,Astou Ndour-Fall
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,3,1627676,Tiffany Mitchell
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,4,1628280,Brionna Jones
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,5,1629497,Marina Mabrey
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,6,1630096,DiJonai Carrington
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,7,1630112,Tyasha Harris
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,8,1631007,Veronica Burton
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,9,1631135,Olivia Nelson-Ododa
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661323'}",discovery,1611661323,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661323__3069b1ed,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661323,200,10,1641698,Caitlin Bickle
