league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,0,201496,Candace Parker
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,1,202252,Alysha Clark
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,2,202641,Sydney Colson
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,3,203029,Riquna Williams
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,4,203833,Chelsea Gray
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,5,204297,Cayla George
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,6,204329,Kiah Stokes
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,7,1628268,Alaina Coates
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,8,1628276,Kelsey Plum
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2023,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2023', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2023__team_id-1611661319__03487d89,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2023&TeamId=1611661319,200,9,1628932,A'ja Wilson
