league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,0,100940,Diana Taurasi
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,1,203398,Brittney Griner
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,2,204296,Rebecca Allen
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,3,204333,Natasha Cloud
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,4,1627674,Kahleah Copper
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,5,1628881,Monique Billings
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,6,1629482,Sophie Cunningham
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,7,1629571,Morgan Bertsch
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,8,1630114,Mikiah Herbert Harrigan
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,9,1630134,Sug Sutton
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661317'}",discovery,1611661317,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661317__7e482f28,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661317,200,10,1630442,Natasha Mack
