league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,0,203406,Layshia Clarendon
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,1,203824,Odyssey Sims
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,2,203855,Stephanie Talbot
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,3,204324,Dearica Hamby
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,4,1628882,Lexie Brown
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,5,1628915,Kia Nurse
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,6,1628922,Azurá Stevens
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,7,1629574,Li Yueru
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,8,1630101,Crystal Dangerfield
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661320'}",discovery,1611661320,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661320__32ebfdee,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661320,200,9,1630462,Aari McDonald
