league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,0,203824,Odyssey Sims
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,1,203827,Natasha Howard
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,2,1628881,Monique Billings
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,3,1629479,Teaira McCowan
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,4,1629480,Kalani Brown
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,5,1629481,Arike Ogunbowale
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,6,1629571,Morgan Bertsch
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,7,1630149,Satou Sabally
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,8,1641652,Maddy Siegrist
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,9,1641654,Stephanie Soares
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,10,1641661,Lou Lopez Sénéchal
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,11,1642240,Jaelyn Brown
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,12,1642244,Sevgi Uzun
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2024', 'TeamId': '1611661321'}",discovery,1611661321,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2024__team_id-1611661321__faee1475,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2024&TeamId=1611661321,200,13,1642292,Jacy Sheldon
