league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,0,203833,Chelsea Gray
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,1,204319,Jewell Loyd
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,2,204323,Cheyenne Parker-Tyus
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,3,204325,Crystal Bradford
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,4,204329,Kiah Stokes
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,5,1627676,Tiffany Mitchell
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,6,1628932,A'ja Wilson
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,7,1629484,Megan Gustafson
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,8,1629498,Jackie Young
wnba,wnba_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2025,Regular Season,team,"{'SeasonType': 'Regular Season', 'Season': '2025', 'TeamId': '1611661319'}",discovery,1611661319,get-team-players-for-season__team_player_catalog__season_type-Regular_Season__season-2025__team_id-1611661319__2e6c4597,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Regular+Season&Season=2025&TeamId=1611661319,200,9,1630115,Joyner Holmes
