league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,0,2pt FGM Assist%,0.667,0.560,0.107,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,1,Non Putback 2pt FGM Assist%,0.667,0.599,0.068,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,2,3pt FGM Assist%,0.800,0.884,-0.084,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,3,3pt FG%,0.385,0.351,0.034,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,4,Non-Heave 3pt FG%,0.385,0.353,0.032,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,5,2pt FG%,0.387,0.494,-0.107,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,6,eFG%,0.443,0.507,-0.064,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,7,TS%,0.500,0.553,-0.053,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,8,3PAr,0.295,0.384,-0.088,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,9,% of FG3A Blocked,0.000,0.010,-0.010,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,10,% of FG2A Blocked,0.065,0.055,0.009,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,11,Live Ball TO%,0.083,0.518,-0.435,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,12,DReb% - Missed FTs,0.000,0.836,-0.836,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1630115'}",on_off,1611661319,1630115,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1630115__99999ff6,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1630115,200,13,OReb% - Missed FTs,0.000,0.129,-0.129,False,team_on_off
