league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,0,2pt FGM Assist%,0.582,0.555,0.027,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,1,Non Putback 2pt FGM Assist%,0.633,0.590,0.043,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,2,3pt FGM Assist%,0.943,0.866,0.077,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,3,3pt FG%,0.301,0.369,-0.068,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,4,Non-Heave 3pt FG%,0.302,0.370,-0.068,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,5,2pt FG%,0.490,0.494,-0.004,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,6,eFG%,0.474,0.516,-0.042,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,7,TS%,0.515,0.564,-0.049,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,8,3PAr,0.399,0.377,0.022,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,9,% of FG3A Blocked,0.010,0.009,0.001,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,10,% of FG2A Blocked,0.053,0.056,-0.003,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1631006'}",on_off,1611661319,1631006,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1631006__df795dd5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1631006,200,11,Live Ball TO%,0.556,0.493,0.063,False,team_on_off
