league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,0,2pt FGM Assist%,0.333,0.571,-0.237,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,1,Non Putback 2pt FGM Assist%,0.353,0.610,-0.257,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,2,3pt FGM Assist%,0.762,0.889,-0.127,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,3,3pt FG%,0.382,0.350,0.032,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,4,Non-Heave 3pt FG%,0.382,0.352,0.030,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,5,2pt FG%,0.396,0.498,-0.102,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,6,eFG%,0.462,0.508,-0.046,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,7,TS%,0.533,0.553,-0.020,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,8,3PAr,0.377,0.383,-0.006,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661319', 'PlayerId': '1642295'}",on_off,1611661319,1642295,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661319__player_id-1642295__c221f4f8,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661319&PlayerId=1642295,200,9,% of FG3A Blocked,0.000,0.010,-0.010,False,team_on_off
