league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,0,2pt FGM Assist%,0.250,0.605,-0.355,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,1,Non Putback 2pt FGM Assist%,0.250,0.641,-0.391,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,2,3pt FGM Assist%,1.000,0.903,0.097,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,3,3pt FG%,0.333,0.304,0.029,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,4,Non-Heave 3pt FG%,0.333,0.307,0.027,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,5,2pt FG%,0.500,0.474,0.026,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,6,eFG%,0.500,0.468,0.032,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,7,TS%,0.500,0.514,-0.014,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,8,3PAr,0.273,0.302,-0.030,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642828'}",on_off,1611661321,1642828,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642828__98552d11,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642828,200,9,% of FG3A Blocked,0.000,0.014,-0.014,False,team_on_off
