league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,0,2pt FGM Assist%,0.724,0.630,0.095,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,1,Non Putback 2pt FGM Assist%,0.750,0.680,0.070,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,2,3pt FGM Assist%,1.000,0.900,0.100,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,3,3pt FG%,0.381,0.327,0.054,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,4,Non-Heave 3pt FG%,0.381,0.330,0.051,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,5,2pt FG%,0.527,0.478,0.049,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,6,eFG%,0.539,0.482,0.058,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,7,TS%,0.557,0.528,0.028,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,8,3PAr,0.276,0.269,0.007,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642810'}",on_off,1611661322,1642810,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642810__a85ce62a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642810,200,9,% of FG3A Blocked,0.000,0.005,-0.005,False,team_on_off
