league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,0,2pt FGM Assist%,0.657,0.609,0.048,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,1,Non Putback 2pt FGM Assist%,0.697,0.652,0.045,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,2,3pt FGM Assist%,0.917,0.918,-0.001,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,3,3pt FG%,0.375,0.386,-0.011,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,4,Non-Heave 3pt FG%,0.376,0.391,-0.015,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,5,2pt FG%,0.528,0.525,0.003,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,6,eFG%,0.541,0.545,-0.004,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,7,TS%,0.569,0.577,-0.008,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,8,3PAr,0.371,0.377,-0.007,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,9,% of FG3A Blocked,0.005,0.013,-0.008,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,10,% of FG2A Blocked,0.052,0.086,-0.034,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1627675'}",on_off,1611661324,1627675,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1627675__4f199b6c,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1627675,200,11,Live Ball TO%,0.549,0.449,0.100,False,team_on_off
