league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,0,2pt FGM Assist%,0.545,0.646,-0.101,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,1,Non Putback 2pt FGM Assist%,0.667,0.685,-0.019,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,2,3pt FGM Assist%,0.571,0.923,-0.351,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,3,3pt FG%,0.412,0.378,0.034,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,4,Non-Heave 3pt FG%,0.412,0.380,0.032,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,5,2pt FG%,0.512,0.528,-0.016,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,6,eFG%,0.542,0.542,-0.001,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,7,TS%,0.551,0.572,-0.020,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,8,3PAr,0.283,0.374,-0.091,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1642320'}",on_off,1611661324,1642320,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1642320__3d3fccc1,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1642320,200,9,% of FG3A Blocked,0.000,0.007,-0.007,False,team_on_off
