league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,0,2pt FGM Assist%,0.667,0.632,0.035,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,1,Non Putback 2pt FGM Assist%,0.714,0.696,0.018,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,2,3pt FGM Assist%,1.000,0.872,0.128,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,3,3pt FG%,0.267,0.331,-0.064,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,4,Non-Heave 3pt FG%,0.267,0.332,-0.066,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,5,2pt FG%,0.341,0.470,-0.129,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,6,eFG%,0.356,0.478,-0.122,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,7,TS%,0.391,0.516,-0.125,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,8,3PAr,0.254,0.307,-0.053,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,9,% of FG3A Blocked,0.000,0.016,-0.016,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '1627669'}",on_off,1611661329,1627669,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-1627669__0ba3e2d5,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=1627669,200,10,% of FG2A Blocked,0.114,0.114,-0.000,False,team_on_off
