league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,0,2pt FGM Assist%,0.614,0.650,-0.036,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,1,Non Putback 2pt FGM Assist%,0.671,0.723,-0.051,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,2,3pt FGM Assist%,0.874,0.873,0.001,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,3,3pt FG%,0.355,0.304,0.051,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,4,Non-Heave 3pt FG%,0.357,0.305,0.053,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,5,2pt FG%,0.462,0.472,-0.010,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,6,eFG%,0.484,0.467,0.016,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,7,TS%,0.517,0.509,0.008,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,8,3PAr,0.305,0.308,-0.003,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661329', 'PlayerId': '204322'}",on_off,1611661329,204322,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661329__player_id-204322__e97be151,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661329&PlayerId=204322,200,9,% of FG3A Blocked,0.022,0.009,0.013,False,team_on_off
