league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,0,2pt FGM Assist%,0.621,0.639,-0.017,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,1,Non Putback 2pt FGM Assist%,0.662,0.707,-0.045,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,2,3pt FGM Assist%,0.891,0.898,-0.007,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,3,3pt FG%,0.352,0.311,0.041,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,4,Non-Heave 3pt FG%,0.356,0.315,0.041,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,5,2pt FG%,0.534,0.496,0.037,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,6,eFG%,0.531,0.484,0.047,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,7,TS%,0.572,0.521,0.050,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,8,3PAr,0.426,0.405,0.020,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661330', 'PlayerId': '1631044'}",on_off,1611661330,1631044,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661330__player_id-1631044__29bf3c1b,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661330&PlayerId=1631044,200,9,% of FG3A Blocked,0.005,0.009,-0.004,False,team_on_off
