league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,0,2pt FGM Assist%,0.444,0.591,-0.146,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,1,Non Putback 2pt FGM Assist%,0.500,0.630,-0.130,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,2,3pt FGM Assist%,0.929,0.896,0.033,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,3,3pt FG%,0.326,0.325,0.001,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,4,Non-Heave 3pt FG%,0.333,0.327,0.006,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,5,2pt FG%,0.529,0.474,0.055,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,6,eFG%,0.514,0.480,0.033,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,7,TS%,0.549,0.528,0.021,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,8,3PAr,0.387,0.461,-0.074,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,9,% of FG3A Blocked,0.000,0.017,-0.017,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,10,% of FG2A Blocked,0.147,0.101,0.046,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,11,Live Ball TO%,0.526,0.535,-0.008,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,12,DReb% - Missed FTs,1.000,0.872,0.128,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,13,OReb% - Missed FTs,0.571,0.233,0.339,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,14,DReb% - Missed 2s,0.600,0.707,-0.107,False,team_on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1631064'}",on_off,1611661331,1631064,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1631064__0f3b8103,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1631064,200,15,OReb% - Missed 2s,0.300,0.289,0.011,False,team_on_off
