league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,0,2pt FGM Assist%,0.676,0.654,0.023
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,1,Non Putback 2pt FGM Assist%,0.701,0.714,-0.014
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,2,3pt FGM Assist%,0.970,0.983,-0.013
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,3,3pt FG%,0.398,0.345,0.053
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,4,Non-Heave 3pt FG%,0.398,0.352,0.046
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,5,2pt FG%,0.486,0.490,-0.003
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,6,eFG%,0.529,0.499,0.029
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,7,TS%,0.562,0.536,0.026
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,8,3PAr,0.383,0.352,0.031
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,9,% of FG3A Blocked,0.009,0.012,-0.003
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,10,% of FG2A Blocked,0.082,0.078,0.003
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,11,Live Ball TO%,0.525,0.519,0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,12,DReb% - Missed FTs,0.781,0.943,-0.162
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,13,OReb% - Missed FTs,0.122,0.091,0.031
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,14,DReb% - Missed 2s,0.672,0.643,0.029
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,15,OReb% - Missed 2s,0.252,0.314,-0.062
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,16,DReb% - Missed 3s,0.741,0.737,0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,17,OReb% - Missed 3s,0.224,0.255,-0.031
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,18,DReb% - Missed FGs,0.699,0.677,0.022
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,19,OReb% - Missed FGs,0.240,0.290,-0.050
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,20,At Rim OReb%,0.327,0.333,-0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,21,Short Mid-Range OReb%,0.229,0.341,-0.112
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,22,Long Mid-Range OReb%,0.213,0.253,-0.039
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,23,Arc 3 OReb%,0.227,0.259,-0.032
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,24,Corner 3 OReb%,0.212,0.240,-0.028
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,25,At Rim DReb%,0.578,0.612,-0.034
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,26,Short Mid-Range DReb%,0.690,0.636,0.054
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,27,Long Mid-Range DReb%,0.738,0.704,0.034
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,28,Arc 3 DReb%,0.746,0.725,0.021
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,29,Corner 3 DReb%,0.723,0.800,-0.077
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,30,Blocks Recovered %,0.532,0.619,-0.087
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629501'}",on_off,1611661324,1629501,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629501__b5821f17,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629501,200,31,Seconds Per Possession - Offense,14.643,15.595,-0.952
