league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,0,2pt FGM Assist%,0.669,0.665,0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,1,Non Putback 2pt FGM Assist%,0.707,0.701,0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,2,3pt FGM Assist%,0.976,0.967,0.008
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,3,3pt FG%,0.383,0.369,0.014
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,4,Non-Heave 3pt FG%,0.386,0.376,0.010
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,5,2pt FG%,0.500,0.459,0.041
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,6,eFG%,0.529,0.490,0.039
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,7,TS%,0.561,0.531,0.030
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,8,3PAr,0.388,0.329,0.059
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,9,% of FG3A Blocked,0.009,0.012,-0.003
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,10,% of FG2A Blocked,0.079,0.085,-0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,11,Live Ball TO%,0.529,0.506,0.023
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,12,DReb% - Missed FTs,0.841,0.913,-0.072
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,13,OReb% - Missed FTs,0.116,0.100,0.016
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,14,DReb% - Missed 2s,0.652,0.689,-0.037
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,15,OReb% - Missed 2s,0.292,0.237,0.055
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,16,DReb% - Missed 3s,0.735,0.753,-0.018
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,17,OReb% - Missed 3s,0.224,0.268,-0.045
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,18,DReb% - Missed FGs,0.684,0.714,-0.030
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2024,Regular Season,team,"{'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1629524'}",on_off,1611661324,1629524,get-on-off__team_on_off__season-2024__season_type-Regular_Season__team_id-1611661324__player_id-1629524__4a010d43,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1629524,200,19,OReb% - Missed FGs,0.262,0.248,0.014
