league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,0,2pt FGM Assist%,0.603,0.631,-0.028
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,1,Non Putback 2pt FGM Assist%,0.654,0.713,-0.059
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,2,3pt FGM Assist%,0.833,0.947,-0.115
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,3,3pt FG%,0.339,0.326,0.014
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,4,Non-Heave 3pt FG%,0.341,0.333,0.008
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,5,2pt FG%,0.539,0.487,0.052
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,6,eFG%,0.527,0.488,0.040
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,7,TS%,0.568,0.526,0.042
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,8,3PAr,0.379,0.396,-0.017
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1628276'}",on_off,1611661320,1628276,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1628276__34d32c8a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1628276,200,9,% of FG3A Blocked,0.004,0.006,-0.002
