league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,0,2pt FGM Assist%,0.605,0.608,-0.002
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,1,Non Putback 2pt FGM Assist%,0.657,0.663,-0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,2,3pt FGM Assist%,0.841,0.854,-0.013
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,3,3pt FG%,0.325,0.343,-0.018
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,4,Non-Heave 3pt FG%,0.330,0.344,-0.014
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,5,2pt FG%,0.535,0.529,0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,6,eFG%,0.517,0.523,-0.006
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,7,TS%,0.559,0.563,-0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,8,3PAr,0.380,0.383,-0.003
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661320', 'PlayerId': '1630996'}",on_off,1611661320,1630996,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661320__player_id-1630996__e3e320f9,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661320&PlayerId=1630996,200,9,% of FG3A Blocked,0.006,0.004,0.002
