league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,0,2pt FGM Assist%,0.563,0.624,-0.061
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,1,Non Putback 2pt FGM Assist%,0.587,0.666,-0.079
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,2,3pt FGM Assist%,0.906,0.901,0.005
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,3,3pt FG%,0.314,0.298,0.016
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,4,Non-Heave 3pt FG%,0.318,0.300,0.018
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,5,2pt FG%,0.467,0.477,-0.010
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,6,eFG%,0.468,0.469,-0.000
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,7,TS%,0.509,0.516,-0.008
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,8,3PAr,0.337,0.283,0.054
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1630143'}",on_off,1611661321,1630143,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1630143__7aee6c80,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1630143,200,9,% of FG3A Blocked,0.016,0.012,0.004
