league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,0,2pt FGM Assist%,0.618,0.597,0.021
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,1,Non Putback 2pt FGM Assist%,0.642,0.638,0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,2,3pt FGM Assist%,0.920,0.894,0.026
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,3,3pt FG%,0.339,0.289,0.050
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,4,Non-Heave 3pt FG%,0.342,0.291,0.052
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,5,2pt FG%,0.486,0.469,0.017
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,6,eFG%,0.493,0.458,0.035
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,7,TS%,0.541,0.502,0.040
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,8,3PAr,0.308,0.300,0.008
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661321', 'PlayerId': '1642808'}",on_off,1611661321,1642808,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661321__player_id-1642808__eb977fb2,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661321&PlayerId=1642808,200,9,% of FG3A Blocked,0.014,0.014,-0.000
