league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,0,2pt FGM Assist%,0.556,0.634,-0.078
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,1,Non Putback 2pt FGM Assist%,0.625,0.683,-0.058
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,2,3pt FGM Assist%,1.000,0.901,0.099
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,3,3pt FG%,0.312,0.329,-0.017
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,4,Non-Heave 3pt FG%,0.312,0.332,-0.019
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,5,2pt FG%,0.514,0.479,0.035
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,6,eFG%,0.500,0.483,0.017
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,7,TS%,0.575,0.528,0.047
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,8,3PAr,0.314,0.268,0.045
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,9,% of FG3A Blocked,0.000,0.005,-0.005
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,10,% of FG2A Blocked,0.057,0.083,-0.026
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,11,Live Ball TO%,0.500,0.520,-0.020
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,12,DReb% - Missed FTs,0.667,0.759,-0.092
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,13,OReb% - Missed FTs,0.000,0.257,-0.257
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,14,DReb% - Missed 2s,0.889,0.721,0.168
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642292'}",on_off,1611661322,1642292,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642292__db8ba372,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642292,200,15,OReb% - Missed 2s,0.118,0.272,-0.154
