league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,0,2pt FGM Assist%,0.636,0.626,0.010
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,1,Non Putback 2pt FGM Assist%,0.684,0.681,0.003
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,2,3pt FGM Assist%,0.907,0.886,0.021
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,3,3pt FG%,0.347,0.297,0.050
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,4,Non-Heave 3pt FG%,0.350,0.299,0.051
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,5,2pt FG%,0.486,0.466,0.019
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,6,eFG%,0.495,0.460,0.035
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,7,TS%,0.543,0.502,0.041
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,8,3PAr,0.263,0.286,-0.023
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661322', 'PlayerId': '1642792'}",on_off,1611661322,1642792,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661322__player_id-1642792__457ec0c3,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661322&PlayerId=1642792,200,9,% of FG3A Blocked,0.004,0.008,-0.003
