league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,0,2pt FGM Assist%,0.579,0.664,-0.085
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,1,Non Putback 2pt FGM Assist%,0.644,0.696,-0.053
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,2,3pt FGM Assist%,0.886,0.923,-0.038
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,3,3pt FG%,0.359,0.382,-0.023
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,4,Non-Heave 3pt FG%,0.363,0.384,-0.022
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,5,2pt FG%,0.529,0.527,0.002
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,6,eFG%,0.532,0.545,-0.013
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,7,TS%,0.562,0.574,-0.012
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,8,3PAr,0.312,0.388,-0.077
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'PlayerId': '1628926'}",on_off,1611661324,1628926,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661324__player_id-1628926__850adb53,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661324&PlayerId=1628926,200,9,% of FG3A Blocked,0.010,0.007,0.004
