league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,0,2pt FGM Assist%,0.610,0.618,-0.008
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,1,Non Putback 2pt FGM Assist%,0.641,0.652,-0.011
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,2,3pt FGM Assist%,0.867,0.896,-0.029
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,3,3pt FG%,0.484,0.337,0.147
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,4,Non-Heave 3pt FG%,0.484,0.340,0.144
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,5,2pt FG%,0.451,0.503,-0.052
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,6,eFG%,0.520,0.504,0.017
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,7,TS%,0.572,0.536,0.036
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,8,3PAr,0.254,0.322,-0.068
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,9,% of FG3A Blocked,0.000,0.011,-0.011
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,10,% of FG2A Blocked,0.121,0.083,0.038
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,11,Live Ball TO%,0.400,0.560,-0.160
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,12,DReb% - Missed FTs,1.000,0.819,0.181
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,13,OReb% - Missed FTs,0.000,0.093,-0.093
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,14,DReb% - Missed 2s,0.581,0.685,-0.103
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661328', 'PlayerId': '1629574'}",on_off,1611661328,1629574,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661328__player_id-1629574__e3d3276a,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661328&PlayerId=1629574,200,15,OReb% - Missed 2s,0.340,0.271,0.069
