league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,0,2pt FGM Assist%,0.587,0.583,0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,1,Non Putback 2pt FGM Assist%,0.639,0.619,0.020
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,2,3pt FGM Assist%,0.877,0.903,-0.026
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,3,3pt FG%,0.299,0.335,-0.036
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,4,Non-Heave 3pt FG%,0.299,0.338,-0.038
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,5,2pt FG%,0.445,0.489,-0.043
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,6,eFG%,0.447,0.495,-0.048
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,7,TS%,0.499,0.541,-0.041
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,8,3PAr,0.447,0.463,-0.016
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1628881'}",on_off,1611661331,1628881,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1628881__0317f73f,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1628881,200,9,% of FG3A Blocked,0.020,0.016,0.004
