league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,0,2pt FGM Assist%,0.614,0.574,0.040
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,1,Non Putback 2pt FGM Assist%,0.627,0.623,0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,2,3pt FGM Assist%,0.894,0.899,-0.005
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,3,3pt FG%,0.383,0.302,0.081
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,4,Non-Heave 3pt FG%,0.385,0.305,0.080
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,5,2pt FG%,0.474,0.477,-0.004
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,6,eFG%,0.522,0.467,0.055
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,7,TS%,0.567,0.516,0.051
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,8,3PAr,0.480,0.450,0.029
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,9,% of FG3A Blocked,0.022,0.015,0.007
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,10,% of FG2A Blocked,0.115,0.099,0.017
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,11,Live Ball TO%,0.548,0.530,0.018
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,12,DReb% - Missed FTs,0.913,0.864,0.049
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,13,OReb% - Missed FTs,0.167,0.279,-0.113
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '1630387'}",on_off,1611661331,1630387,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-1630387__3e28f350,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=1630387,200,14,DReb% - Missed 2s,0.675,0.712,-0.036
