league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,0,2pt FGM Assist%,0.574,0.590,-0.015
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,1,Non Putback 2pt FGM Assist%,0.638,0.616,0.021
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,2,3pt FGM Assist%,0.920,0.883,0.037
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,3,3pt FG%,0.326,0.324,0.002
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,4,Non-Heave 3pt FG%,0.327,0.328,-0.001
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,5,2pt FG%,0.465,0.484,-0.018
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,6,eFG%,0.476,0.485,-0.009
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,7,TS%,0.524,0.532,-0.008
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,8,3PAr,0.451,0.463,-0.013
wnba,wnba_on_off,on_off,team_on_off,get-on-off,2025,Regular Season,team,"{'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'PlayerId': '203866'}",on_off,1611661331,203866,get-on-off__team_on_off__season-2025__season_type-Regular_Season__team_id-1611661331__player_id-203866__5f9150fe,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2025&SeasonType=Regular+Season&TeamId=1611661331&PlayerId=203866,200,9,% of FG3A Blocked,0.012,0.020,-0.008
