league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,0,00:00,"MISS Delle Donne 34' 3PT Pullup Jump Shot
Mystics Rebound
",0,0,1,0,2023-09-19,1042300112,0,0,NYL,5,0,-5,00:04,Off FT Make,0,"[{""description"": ""MISS Delle Donne 34' 3PT Pullup Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/643/69e6553f-3987-e221-f4bf-d08b7218f01d_960x540.mp4""}, {""description"": ""Mystics Rebound"", ""url"": """"}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,1,00:05,"MISS Atkins 26' 3PT Pullup Jump Shot
LIBERTY Rebound
",0,0,1,0,2023-09-19,1042300112,0,0,NYL,5,0,-3,00:11,Off Timeout,0,"[{""description"": ""MISS Atkins 26' 3PT Pullup Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/635/15a19de1-2ce8-3410-9791-c93fcb72ffc9_960x540.mp4""}, {""description"": ""LIBERTY Rebound"", ""url"": """"}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,2,00:14,"Jones STEAL (1 STL): Sykes Bad Pass Turnover (P5.T15)
",0,0,0,0,2023-09-19,1042300112,0,0,NYL,5,0,-1,00:18,Off Steal,1,"[{""description"": ""Jones STEAL (1 STL): Sykes Bad Pass Turnover (P5.T15)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/621/12e599b8-917f-36db-e6f4-a4f02164832d_960x540.mp4""}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,3,00:38,"Vandersloot P.FOUL (P3.T1)
Jones BLOCK (3 BLK): MISS Hines-Allen 3' Cutting Layup Shot
Mystics Rebound
Ionescu L.B.FOUL (P2.PN)
Atkins Free Throw 1 of 2 (12 PTS)
Atkins Free Throw 2 of 2 (13 PTS)
",1,0,0,0,2023-09-19,1042300112,1,1,NYL,5,0,-3,00:49,Off At Rim Make,0,"[{""description"": ""Vandersloot P.FOUL (P3.T1)"", ""url"": """"}, {""description"": ""Jones BLOCK (3 BLK): MISS Hines-Allen 3' Cutting Layup Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/612/e658047f-d08e-9bbd-ad26-2ee431b71853_960x540.mp4""}, {""description"": ""Mystics Rebound"", ""url"": """"}, {""description"": ""Ionescu L.B.FOUL (P2.PN)"", ""url"": """"}, {""description"": ""Atkins Free Throw 1 of 2 (12 PTS)"", ""url"": """"}, {""description"": ""Atkins Free Throw 2 of 2 (13 PTS)"", ""url"": """"}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,4,01:04,"MISS Delle Donne 2' Driving Reverse Layup
Atkins REBOUND (Off:2 Def:3)
Atkins 1' Tip Layup Shot (11 PTS)
",2,1,0,0,2023-09-19,1042300112,0,1,NYL,5,0,-3,01:18,Off Dead Ball,0,"[{""description"": ""MISS Delle Donne 2' Driving Reverse Layup"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/606/72e64c68-9c90-cfac-22e4-219b59411b8c_960x540.mp4""}, {""description"": ""Atkins REBOUND (Off:2 Def:3)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/607/2327903c-dca3-ed33-27b9-8f47c564403f_960x540.mp4""}, {""description"": ""Atkins 1' Tip Layup Shot (11 PTS)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/608/6653f714-6772-d098-e394-5e9b29ad391b_960x540.mp4""}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,5,01:32,"MISS Hines-Allen 7' Driving Floating Jump Shot
Vandersloot REBOUND (Off:0 Def:3)
",1,0,0,0,2023-09-19,1042300112,0,0,NYL,5,0,-3,01:49,Off Short Mid-Range Miss,0,"[{""description"": ""MISS Hines-Allen 7' Driving Floating Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/599/dc1c7bf0-db90-3f57-5f13-7a9931b5b601_960x540.mp4""}, {""description"": ""Vandersloot REBOUND (Off:0 Def:3)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/600/7d86f178-ec48-df1f-7916-053dbb9ed836_960x540.mp4""}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,6,02:12,"Delle Donne 7' Turnaround Fadeaway (11 PTS) (Cloud 9 AST)
",1,1,0,0,2023-09-19,1042300112,0,0,NYL,5,0,-5,02:29,Off Timeout,0,"[{""description"": ""Delle Donne 7' Turnaround Fadeaway (11 PTS) (Cloud 9 AST)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/595/e8d10351-6bf4-984b-6248-ed24c518e183_960x540.mp4""}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,7,02:46,"MISS Atkins 11' Pullup Jump Shot
Stewart REBOUND (Off:2 Def:7)
",1,0,0,0,2023-09-19,1042300112,0,0,NYL,5,0,-3,03:11,Off At Rim Make,0,"[{""description"": ""MISS Atkins 11' Pullup Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/588/fbbba358-f356-a2dc-56a7-7c6d9f485090_960x540.mp4""}, {""description"": ""Stewart REBOUND (Off:2 Def:7)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/589/a589b7f0-15f5-0c02-9161-0eb2bda7b4ea_960x540.mp4""}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,8,03:33,"MISS Delle Donne 11' Floating Jump Shot
LIBERTY Rebound
",1,0,0,0,2023-09-19,1042300112,0,0,NYL,5,0,-1,03:56,Off Short Mid-Range Make,0,"[{""description"": ""MISS Delle Donne 11' Floating Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/580/1326cb40-7a66-c3b8-548e-72bcad24de90_960x540.mp4""}, {""description"": ""LIBERTY Rebound"", ""url"": """"}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2023,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2023', 'SeasonType': 'Playoffs', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2023__season_type-Playoffs__team_id-1611661322__a1b7966a,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2023&SeasonType=Playoffs&TeamId=1611661322,200,9,04:19,"Cloud 25' 3PT Jump Shot (33 PTS) (Delle Donne 1 AST)
",0,0,1,1,2023-09-19,1042300112,0,0,NYL,5,0,-2,04:44,Off FT Make,0,"[{""description"": ""Cloud 25' 3PT Jump Shot (33 PTS) (Delle Donne 1 AST)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2023/09/19/1042300112/576/904c64a4-b637-86e8-072f-9382611417b9_960x540.mp4""}]",True,possessions,4Q/OT | margin -3..3 | 300..120,team
