league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,0,,,,,,False,1611661330,2.0,569,2025-09-10,1022500282,1628263-1642796-1642800-1642809-203863,False,ATL,1628269-1628278-1630471-1631021-1642804,Aneesah Morrow,1642800.0,Haley Peters,203863.0,ShortMidRange,1611661323,4,Aneesah Morrow,1642800,34,00:22,1628263,Lindsay Allen,1628269,Nia Coffey,0,,0,,True,-16,1.0,14.0,0.2432,2.0,LongMidRange,2,22.0,OffAtRimBlock,CON,00:02,,-117,77,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,1,,,,,,False,1611661330,2.0,567,2025-09-10,1022500282,1628263-1642796-1642800-1642809-203863,False,ATL,1628269-1628278-1630471-1631021-1642804,,,,,,1611661323,4,Haley Peters,203863,34,00:22,1628263,Lindsay Allen,1628269,Nia Coffey,0,,0,,False,-16,,7.8,0.2869,7.0,ShortMidRange,2,22.0,OffAtRimBlock,CON,00:07,,-16,76,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,2,,,,,,False,1611661330,49.0,559,2025-09-10,1022500282,1628263-1642796-1642800-1642809-203863,False,ATL,1628269-1628278-1630471-1631044-1642804,,,,,,1611661323,4,Rayah Marshall,1642796,32,00:59,1642800,Aneesah Morrow,1630471,Maya Caldwell,0,,0,,False,-16,,10.8,0.385,50.0,ShortMidRange,2,59.0,OffArc3Miss,CON,00:50,,-55,93,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,3,,,False,,,,1611661330,82.0,556,2025-09-10,1022500282,1628263-1642796-1642800-1642809-203863,True,ATL,1628269-1628278-1630471-1631044-1642804,,,,,,1611661323,4,Lindsay Allen,1628263,30,01:25,1628263,Lindsay Allen,1642804,Te-Hina Paopao,0,,0,,False,-18,,15.4,0.4395,82.0,LongMidRange,2,85.0,OffShortMidRangeMiss,CON,01:22,,44,148,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,4,,,,Te-Hina Paopao,1642804.0,True,1611661330,115.0,542,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,False,ATL,1628269-1630471-1631009-1631044-1642804,,,,,,1611661323,4,Lindsay Allen,1628263,28,02:22,0,,1630471,Maya Caldwell,0,,0,,False,-18,,9.9,0.3593,115.0,ShortMidRange,2,142.0,OffCorner3Make,CON,01:55,,-13,98,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,5,,,,Brittney Griner,203398.0,True,1611661330,150.0,532,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,False,ATL,1628277-1630471-1631009-1631044-203398,Aaliyah Edwards,1642290.0,Saniya Rivers,1642809.0,Arc3,1611661323,4,Aaliyah Edwards,1642290,26,02:41,1642290,Aaliyah Edwards,203398,Brittney Griner,0,,0,,True,-15,1.0,1.6,0.6833,150.0,AtRim,2,161.0,OffAtRimMiss,CON,02:30,,-12,11,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,6,,,,,,False,1611661330,150.0,530,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,False,ATL,1628277-1630471-1631009-1631044-203398,,,,,,1611661323,4,Saniya Rivers,1642809,26,02:41,1642290,Aaliyah Edwards,203398,Brittney Griner,0,,0,,False,-15,,25.9,0.3878,154.0,Arc3,3,161.0,OffAtRimMiss,CON,02:34,,-170,195,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,7,,,False,,,,1611661330,181.0,527,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,True,ATL,1628277-1630471-1631009-1631044-203398,,,,,,1611661323,4,Marina Mabrey,1629497,24,03:18,0,,0,,0,,0,,False,-17,,17.4,0.3766,181.0,LongMidRange,2,198.0,OffFTMake,CON,03:01,,19,173,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,8,,,,,,False,1611661330,201.0,519,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,False,ATL,1628277-1630471-1631044-1642804-203398,,,,,,1611661323,4,Lindsay Allen,1628263,22,03:38,0,,203398,Brittney Griner,0,,0,,False,-15,,2.3,0.6391,203.0,AtRim,2,218.0,OffAtRimMake,CON,03:23,,21,9,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,9,Marina Mabrey,1629497.0,True,,,,1611661330,236.0,515,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,True,ATL,1628277-1630471-1631044-1642804-203398,,,,,,1611661323,4,Aaliyah Edwards,1642290,20,04:10,1628263,Lindsay Allen,1642804,Te-Hina Paopao,0,,0,,False,-15,,3.4,0.6167,236.0,AtRim,2,250.0,OffCorner3Miss,CON,03:56,,-1,34,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323', 'EntityId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661323__entity_id-1611661323__9a6613a2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661323&EntityId=1611661323,200,10,,,,,,False,1611661330,268.0,511,2025-09-10,1022500282,1628263-1629497-1642290-1642800-1642809,False,ATL,1628277-1630471-1631044-1642804-203398,,,,,,1611661323,4,Aneesah Morrow,1642800,18,04:47,0,,0,,0,,0,,False,-15,,23.6,0.3277,271.0,Corner3,3,287.0,OffDeadball,CON,04:31,,-228,60,False,shots,4Q/OT | margin -3..3 | 300..120,team
