league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,0,,,,,,False,1611661319,54.0,546,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628268-1631006-202641-203833-204297,,,,,,1611661329,4,Marina Mabrey,1629497,39,01:10,1627675,Courtney Williams,204297,Cayla George,0,,0,,False,-22,,26.2,0.306,56.0,Arc3,3,70.0,OffShortMidRangeMiss,CHI,00:56,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/546/f41b8d57-a491-9c49-de90-6591fa67012d_960x540.mp4,123,231,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,1,,,,,,False,1611661319,75.0,542,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628268-1631006-202641-203833-204297,,,,,,1611661329,4,Elizabeth Williams,204322,37,01:28,0,,0,,1627674,Kahleah Copper,1628268,Alaina Coates,False,-22,,12.2,0.3901,77.0,ShortMidRange,2,88.0,OffLiveBallTurnover,CHI,01:17,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/542/a061338e-81c7-6c5e-8315-bd08734f1250_960x540.mp4,-122,2,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,2,,,,,,False,1611661319,128.0,525,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628268-1631006-202641-203833-204297,,,,,,1611661329,4,Dana Evans,1630389,33,02:27,0,,0,,0,,0,,False,-24,,25.4,0.3586,132.0,Arc3,3,147.0,OffTimeout,CHI,02:12,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/525/cc5a50f8-857f-7c55-3c64-be2e97c43de7_960x540.mp4,-104,232,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,3,,,,,,False,1611661319,192.0,504,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1629498-202252-203833-204329,,,,,,1611661329,4,Courtney Williams,1627675,29,03:21,0,,0,,204322,Elizabeth Williams,203833,Chelsea Gray,False,-19,,25.7,0.3617,195.0,Arc3,3,201.0,OffLiveBallTurnover,CHI,03:15,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/504/803e1419-2513-6007-3be7-abec66ccc5d4_960x540.mp4,162,200,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,4,,,,,,False,1611661319,252.0,487,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1628932-1629498-202252-203833,Kahleah Copper,1627674.0,Kahleah Copper,1627674.0,ShortMidRange,1611661329,4,Kahleah Copper,1627674,25,04:31,0,,0,,0,,0,,True,-20,2.0,11.8,0.3328,255.0,ShortMidRange,2,271.0,OffTimeout,CHI,04:15,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/487/2535e06b-cc42-efe1-5b7b-52f639664410_960x540.mp4,44,109,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,5,,,,,,False,1611661319,252.0,485,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1628932-1629498-202252-203833,,,,,,1611661329,4,Kahleah Copper,1627674,25,04:31,0,,0,,0,,0,,False,-20,,7.1,0.3265,259.0,ShortMidRange,2,271.0,OffTimeout,CHI,04:19,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/485/ca2794d3-30a8-6ad7-9ac5-9b1cd668f28a_960x540.mp4,46,54,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,6,,,,,,False,1611661319,276.0,480,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1628932-1629498-202252-203833,,,,,,1611661329,4,Marina Mabrey,1629497,23,04:52,0,,0,,0,,0,,False,-17,,5.0,0.4283,277.0,ShortMidRange,2,292.0,OffFTMake,CHI,04:37,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/480/7bf3fded-4df1-b63c-33ea-59f05e005344_960x540.mp4,-49,12,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,7,,,,,,False,1611661319,305.0,474,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1628932-1629498-202252-203833,,,,,,1611661329,4,Elizabeth Williams,204322,21,05:16,1629497,Marina Mabrey,202252,Alysha Clark,0,,0,,False,-14,,18.2,0.3478,309.0,LongMidRange,2,316.0,OffShortMidRangeBlock,CHI,05:09,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/474/d8d463a7-e642-5eb9-8774-044ba8883cc3_960x540.mp4,118,138,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,8,,,,,,False,1611661319,327.0,469,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1628932-1629498-202252-203833,,,,,,1611661329,4,Dana Evans,1630389,19,05:44,0,,0,,0,,0,,False,-14,,5.0,0.4104,330.0,ShortMidRange,2,344.0,OffFTMake,CHI,05:30,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/469/2d707c7f-75e1-0d0d-cf8f-fd1e4ce9ac68_960x540.mp4,-22,45,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,9,,,,,,False,1611661319,355.0,463,2023-09-17,1042300102,1627674-1627675-1629497-1630389-204322,False,LVA,1628276-1628932-1629498-202252-203833,,,,,,1611661329,4,Marina Mabrey,1629497,17,06:08,0,,203833,Chelsea Gray,0,,0,,False,-12,,25.5,0.3162,358.0,Arc3,3,368.0,OffArc3Make,CHI,05:58,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/463/74a3244e-aeda-51cd-4768-565c0807a8fc_960x540.mp4,-1,255,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2023,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2023', 'SeasonType': 'Playoffs', 'EntityId': '1611661329'}",shot_pace,1611661329,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2023__season_type-Playoffs__entity_id-1611661329__94d9b07a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2023&SeasonType=Playoffs&EntityId=1611661329,200,10,,,,,,False,1611661319,31.0,390,2023-09-17,1042300102,1627674-1627675-1630389-1641641-204322,False,LVA,1628276-1629498-1631006-202252-204329,,,,,,1611661329,3,Elizabeth Williams,204322,38,00:49,0,,0,,0,,0,,False,-26,,6.1,0.3911,35.0,ShortMidRange,2,49.0,OffDeadball,CHI,00:35,https://videos.nba.com/wnba/pbp/media/2023/09/17/1042300102/390/e68c7523-983a-e9d3-9233-45ae2abf9be8_960x540.mp4,-29,54,True,shots,4Q/OT | margin -3..3 | 300..120,team
