league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,0,,,,,,False,1611661325,22.0,535,2024-09-19,1022400237,1628278-1630134-1631021-1631083-1631141,False,IND,1628929-1629478-1641658-1641687-204365,,,,,,1611661322,4,Jade Melbourne,1631141,42,00:40,1631083,Emily Engstler,1641687,Victaria Saxton,0,,0,,False,1,,5.2,0.3119,25.0,ShortMidRange,2,40.0,OffShortMidRangeMiss,WAS,00:25,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/535/9055c098-05ce-ea71-5cbd-93b2515913cf_960x540.mp4,-52,4,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,1,,,,,,False,1611661325,85.0,524,2024-09-19,1022400237,1628278-1630134-1631021-1631083-1631141,False,IND,1628929-1629478-1641658-1641687-204365,,,,,,1611661322,4,Sug Sutton,1630134,38,01:46,0,,1641687,Victaria Saxton,0,,0,,False,3,,24.7,0.3285,89.0,Arc3,3,106.0,OffArc3Make,WAS,01:29,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/524/55e9a357-bdda-b4c1-9f53-89705dea7cd0_960x540.mp4,-102,225,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,2,,,,,,False,1611661325,115.0,520,2024-09-19,1022400237,1628278-1630134-1631021-1631083-1631141,False,IND,1628929-1629478-1641658-1641687-204365,,,,,,1611661322,4,Sika Koné,1631021,36,02:13,0,,1641687,Victaria Saxton,0,,0,,False,6,,4.8,0.3907,119.0,ShortMidRange,2,133.0,OffAtRimMake,WAS,01:59,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/520/ffaa3c0a-b6af-2d52-e7b9-a04ba1e50e29_960x540.mp4,24,42,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,3,,,,,,False,1611661325,174.0,507,2024-09-19,1022400237,1628278-1628317-1630134-1631021-1631141,False,IND,1628929-1629478-1641658-1641687-204365,,,,,,1611661322,4,Karlie Samuelson,1628317,32,03:17,0,,0,,0,,0,,False,8,,2.5,0.5218,178.0,AtRim,2,197.0,OffDeadball,WAS,02:58,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/507/c42cb0cc-d55b-fa65-c9b0-5cd1c840fa03_960x540.mp4,-22,12,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,4,,,,,,False,1611661325,231.0,490,2024-09-19,1022400237,1628278-1628317-1630134-1631021-1631141,False,IND,1628929-1629478-1641658-1641687-204365,,,,,,1611661322,4,Jade Melbourne,1631141,28,04:05,1631021,Sika Koné,1628929,Kristy Wallace,0,,0,,False,10,,8.3,0.3627,233.0,ShortMidRange,2,245.0,OffLongMidRangeMiss,WAS,03:53,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/490/44c8294b-2cfc-ef52-45ca-0261e5b5c99c_960x540.mp4,51,65,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,5,,,,,,False,1611661325,259.0,482,2024-09-19,1022400237,1628279-1628878-1631083-1642210-203828,False,IND,1628929-1629478-1641658-1641687-204365,,,,,,1611661322,4,Julie Vanloo,1642210,26,04:29,1628279,Brittney Sykes,1629478,Katie Lou Samuelson,0,,0,,False,10,,25.4,0.3773,262.0,Arc3,3,269.0,OffArc3Miss,WAS,04:22,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/482/24d37917-a6bc-a9be-0c80-bcaff6637dc9_960x540.mp4,-77,242,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,6,,,,,,False,1611661325,344.0,459,2024-09-19,1022400237,1628279-1628878-1631083-1642210-203828,False,IND,1628929-1629478-1641658-203024-204365,,,,,,1611661322,4,Stefanie Dolson,203828,20,06:06,0,,1629478,Katie Lou Samuelson,0,,0,,False,7,,24.2,0.3516,346.0,Arc3,3,366.0,OffCorner3Make,WAS,05:46,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/459/1b03edb8-5060-f84a-80a7-d8895c37cf0c_960x540.mp4,218,106,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,7,,,,,,False,1611661325,408.0,449,2024-09-19,1022400237,1628279-1628878-1631083-1642210-203828,False,IND,1628929-1629478-1641658-203024-204365,,,,,,1611661322,4,Brittney Sykes,1628279,16,07:04,1628279,Brittney Sykes,203024,Damiris Dantas,0,,0,,False,13,,7.2,0.3674,410.0,ShortMidRange,2,424.0,OffArc3Miss,WAS,06:50,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/449/a687725a-f8ed-b315-eb76-b8d0e0ec1d12_960x540.mp4,46,56,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,8,,,,,,False,1611661325,448.0,431,2024-09-19,1022400237,1628278-1628878-1630134-1631021-1631141,False,IND,1627701-1628929-1629478-1641658-203024,,,,,,1611661322,4,Shatori Walker-Kimbrough,1628278,12,07:36,0,,0,,1631141,Jade Melbourne,1629478,Katie Lou Samuelson,False,15,,1.8,0.7473,451.0,AtRim,2,456.0,OffLiveBallTurnover,WAS,07:31,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/431/ff6ba8cf-470f-197f-868a-46a1256ef905_960x540.mp4,17,-6,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,9,,,,,,False,1611661325,506.0,416,2024-09-19,1022400237,1628278-1628317-1630134-1631021-1631141,False,IND,1627701-1628929-1629478-1641658-203024,,,,,,1611661322,4,Sug Sutton,1630134,6,08:48,1631021,Sika Koné,203024,Damiris Dantas,0,,0,,False,15,,23.7,0.2161,511.0,Arc3,3,528.0,OffFTMiss,WAS,08:31,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/416/44165167-29be-ecc8-2bb2-62b550dddc32_960x540.mp4,-7,237,False,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661322__1bc0802e,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661322,200,10,,,,,,False,1611661325,537.0,409,2024-09-19,1022400237,1628278-1628317-1630134-1631021-1631141,False,IND,1627701-1628929-1629478-1641658-203024,Shatori Walker-Kimbrough,1628278.0,Karlie Samuelson,1628317.0,Arc3,1611661322,4,Shatori Walker-Kimbrough,1628278,4,09:13,1631021,Sika Koné,1641658,Grace Berger,0,,0,,False,16,1.0,24.8,0.3427,543.0,Arc3,3,553.0,OffLongMidRangeMiss,WAS,09:03,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/409/5cb04cae-6948-06ec-271a-2fe7d4cc898b_960x540.mp4,-212,129,False,shots,4Q/OT | margin -3..3 | 300..120,team
