league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,0,,,,,,False,1611661319,1.0,628,2025-09-30,1042500215,1629488-1631086-203035-203824-203827,False,LVA,1628932-1629498-203833-204319-204329,,,,,,1611661325,5,Natasha Howard,203827,20,00:05,0,,0,,0,,0,,False,-9,,4.4,0.4249,3.0,ShortMidRange,2,5.0,OffTimeout,IND,00:03,,-38,22,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,1,,,,,,False,1611661319,9.0,615,2025-09-30,1042500215,1629488-1631086-203035-203824-203827,False,LVA,1628932-1629498-203833-204319-204329,,,,,,1611661325,5,Shey Peddy,203035,18,00:12,0,,0,,0,,0,,False,-7,,28.5,0.1119,10.0,Arc3,3,12.0,OffTimeout,IND,00:10,,-117,260,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,2,,,,,,False,1611661319,12.0,606,2025-09-30,1042500215,1629488-1631086-203035-203824-203827,False,LVA,1628932-1629498-1630389-203833-204319,,,,,,1611661325,5,Odyssey Sims,203824,16,00:20,0,,0,,0,,0,,False,-5,,7.5,0.1934,14.0,ShortMidRange,2,20.0,OffFTMake,IND,00:14,,-68,31,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,3,,,,,,False,1611661319,87.0,589,2025-09-30,1042500215,1629488-1631086-203035-203824-203827,False,LVA,1628932-1629498-1630389-203833-204319,,,,,,1611661325,5,Lexie Hull,1631086,10,01:53,0,,0,,0,,0,,False,-4,,9.7,0.2916,90.0,ShortMidRange,2,113.0,OffFTMake,IND,01:30,,-93,29,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,4,,,,,,False,1611661319,181.0,502,2025-09-30,1042500215,1627672-1629488-1631086-1641648-203824,False,LVA,1628932-1629484-1629498-1630389-203833,Aliyah Boston,1641648.0,Odyssey Sims,203824.0,LongMidRange,1611661325,4,Aliyah Boston,1641648,23,03:22,1629488,Brianna Turner,1628932,A'ja Wilson,0,,0,,True,-2,1.0,6.7,0.353,188.0,ShortMidRange,2,202.0,OffLongMidRangeMiss,IND,03:08,,60,29,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,5,,,,,,False,1611661319,181.0,500,2025-09-30,1042500215,1627672-1629488-1631086-1641648-203824,False,LVA,1628932-1629484-1629498-1630389-203833,,,,,,1611661325,4,Odyssey Sims,203824,23,03:22,1629488,Brianna Turner,1628932,A'ja Wilson,0,,0,,False,-2,,14.5,0.3975,193.0,LongMidRange,2,202.0,OffLongMidRangeMiss,IND,03:13,,-117,85,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,6,,,,,,False,1611661319,386.0,469,2025-09-30,1042500215,1627672-1631086-1641648-203824-203827,False,LVA,1628932-1629498-1631019-203833-204319,,,,,,1611661325,4,Odyssey Sims,203824,11,06:37,0,,0,,0,,0,,False,-7,,5.4,0.3989,387.0,ShortMidRange,2,397.0,OffDeadball,IND,06:27,,46,29,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,7,,,,,,False,1611661319,582.0,432,2025-09-30,1042500215,1629488-1631086-1641648-203035-203824,False,LVA,1629484-1629498-1631006-1631019-203833,,,,,,1611661325,4,Aliyah Boston,1641648,1,10:00,0,,0,,0,,0,,False,-8,,7.7,0.3576,584.0,ShortMidRange,2,600.0,OffDeadball,IND,09:44,,73,24,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,8,,,,,,False,1611661319,0.0,422,2025-09-30,1042500215,1629488-1631086-203035-203824-203827,False,LVA,1628932-1629484-1629498-1630389-203833,,,,,,1611661325,3,Shey Peddy,203035,38,00:24,0,,1628932,A'ja Wilson,0,,0,,False,-8,,28.5,0.0639,0.0,Arc3,3,24.0,OffShortMidRangeMake,IND,00:00,,73,275,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,9,,,,,,False,1611661319,178.0,384,2025-09-30,1042500215,1629488-1631086-203035-203824-203827,False,LVA,1628932-1629498-1631019-203833-204319,,,,,,1611661325,3,Natasha Howard,203827,26,03:08,1631086,Lexie Hull,1628932,A'ja Wilson,0,,0,,False,-7,,16.2,0.41,182.0,LongMidRange,2,188.0,OffShortMidRangeMiss,IND,03:02,,-161,-14,True,shots,4Q/OT | margin -3..3 | 300..120,team
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661325__82770799,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661325,200,10,,,,,,False,1611661319,364.0,350,2025-09-30,1042500215,1628909-1629488-1631086-1641648-203824,False,LVA,1628932-1629498-1630389-1631019-204319,,,,,,1611661325,3,Lexie Hull,1631086,14,06:20,0,,0,,0,,0,,False,-7,,26.3,0.3555,366.0,Arc3,3,380.0,OffTimeout,IND,06:06,,57,257,True,shots,4Q/OT | margin -3..3 | 300..120,team
