league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,0,00:00,,0,0,0,0,2024-10-20,1042400305,0,0,MIN,5,0,5,00:07,Off Steal,0,[]
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,1,00:10,"Collier P.FOUL (P6.T1)
Williams Personal Take Foul (P3.PN)
Stewart Free Throw 1 of 2 (12 PTS)
Stewart Free Throw 2 of 2 (13 PTS)
",0,0,0,0,2024-10-20,1042400305,1,0,MIN,5,0,3,00:14,Off Arc 3 Miss,0,"[{""description"": ""Collier P.FOUL (P6.T1)"", ""url"": """"}, {""description"": ""Williams Personal Take Foul (P3.PN)"", ""url"": """"}, {""description"": ""Stewart Free Throw 1 of 2 (12 PTS)"", ""url"": """"}, {""description"": ""Stewart Free Throw 2 of 2 (13 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,2,00:18,"MISS Ionescu 28' 3PT Jump Shot
Lynx Rebound
",0,0,1,0,2024-10-20,1042400305,0,0,MIN,5,0,3,00:41,Off Steal,0,"[{""description"": ""MISS Ionescu 28' 3PT Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/576/2db81b94-2e38-7b6b-08bd-fdbc1c563d45_960x540.mp4""}, {""description"": ""Lynx Rebound"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,3,00:52,"MISS Ionescu 17' Pullup Jump Shot
Smith REBOUND (Off:1 Def:7)
",1,0,0,0,2024-10-20,1042400305,0,0,MIN,5,0,3,01:15,Off Timeout,0,"[{""description"": ""MISS Ionescu 17' Pullup Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/572/92631e16-fc7e-620e-1dc3-e89e9bde56f8_960x540.mp4""}, {""description"": ""Smith REBOUND (Off:1 Def:7)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/573/d6653fe0-828c-1168-bf8e-2fb411b326f1_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,4,01:33,"Sabally Offensive Charge Foul (P3)
Sabally Offensive Foul Turnover (P2.T12)
",0,0,0,0,2024-10-20,1042400305,0,0,MIN,5,0,3,01:51,Off FT Make,1,"[{""description"": ""Sabally Offensive Charge Foul (P3)"", ""url"": """"}, {""description"": ""Sabally Offensive Foul Turnover (P2.T12)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/563/c2cb9089-2dc3-bf04-fcb8-1453fc49f327_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,5,02:03,"MISS Stewart 24' 3PT Jump Shot
Lynx Rebound
",0,0,1,0,2024-10-20,1042400305,0,0,MIN,5,0,5,02:29,Off Dead Ball,0,"[{""description"": ""MISS Stewart 24' 3PT Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/553/9f49fd7d-f16c-2b51-d58d-899584805704_960x540.mp4""}, {""description"": ""Lynx Rebound"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,6,02:44,"Sabally Bad Pass Turnover (P1.T11): McBride STEAL (4 STL)
",0,0,0,0,2024-10-20,1042400305,0,0,MIN,5,0,5,02:50,Off Dead Ball,1,"[{""description"": ""Sabally Bad Pass Turnover (P1.T11): McBride STEAL (4 STL)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/544/44046a25-1e42-6c31-534e-cdb359a1e5ad_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,7,03:14,"Sabally 3' Running Layup (13 PTS)
",1,1,0,0,2024-10-20,1042400305,0,0,MIN,5,0,3,03:18,Off Steal,0,"[{""description"": ""Sabally 3' Running Layup (13 PTS)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/539/38c108b4-ab96-18b1-6cca-e32ecb277fe4_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,8,03:38,"Ionescu Out of Bounds - Bad Pass Turnover Turnover (P2.T10)
",0,0,0,0,2024-10-20,1042400305,0,0,MIN,5,0,3,03:47,Off At Rim Miss,1,"[{""description"": ""Ionescu Out of Bounds - Bad Pass Turnover Turnover (P2.T10)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/534/4c95721f-f6a7-46d8-0cef-e7a8409963f3_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661313__7ac78253,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661313,200,9,03:56,"MISS Fiebich 25' 3PT Jump Shot
Smith REBOUND (Off:1 Def:6)
",0,0,1,0,2024-10-20,1042400305,0,0,MIN,5,0,3,04:21,Off Long Mid-Range Miss,0,"[{""description"": ""MISS Fiebich 25' 3PT Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/530/d9f1677f-9bcc-a446-f8c3-0d2fcde43da6_960x540.mp4""}, {""description"": ""Smith REBOUND (Off:1 Def:6)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/10/20/1042400305/531/83a3c595-df9f-155a-04eb-64dd6086c7c9_960x540.mp4""}]"
