league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,0,00:22,"Saxton P.FOUL (P1.T2)
MISS Melbourne 5' Driving Layup
Samuelson REBOUND (Off:1 Def:3)
",1,0,0,0,2024-09-19,1022400237,0,0,IND,4,0,1,00:40,Off Short Mid-Range Miss,0,"[{""description"": ""Saxton P.FOUL (P1.T2)"", ""url"": """"}, {""description"": ""MISS Melbourne 5' Driving Layup"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/535/9055c098-05ce-ea71-5cbd-93b2515913cf_960x540.mp4""}, {""description"": ""Samuelson REBOUND (Off:1 Def:3)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/536/bc5d67e8-80f3-99ed-5653-754bfd2be82e_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,1,00:53,"Walker-Kimbrough Lost Ball Turnover (P4.T14): Wheeler STEAL (1 STL)
",0,0,0,0,2024-09-19,1022400237,0,0,IND,4,0,1,01:13,Off Timeout,1,"[{""description"": ""Walker-Kimbrough Lost Ball Turnover (P4.T14): Wheeler STEAL (1 STL)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/529/1e3f49a5-61a9-53c2-12e0-a0a43352973e_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,2,01:25,"MISS Sutton 25' 3PT Jump Shot
Saxton REBOUND (Off:0 Def:2)
",0,0,1,0,2024-09-19,1022400237,0,0,IND,4,0,3,01:46,Off Arc 3 Make,0,"[{""description"": ""MISS Sutton 25' 3PT Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/524/55e9a357-bdda-b4c1-9f53-89705dea7cd0_960x540.mp4""}, {""description"": ""Saxton REBOUND (Off:0 Def:2)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/525/fdb5f257-d004-e6e7-7eb7-eb9af6c7f0f3_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,3,01:55,"MISS Koné 5' Layup
Saxton REBOUND (Off:0 Def:1)
",1,0,0,0,2024-09-19,1022400237,0,0,IND,4,0,6,02:13,Off At Rim Make,0,"[{""description"": ""MISS Koné 5' Layup"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/520/ffaa3c0a-b6af-2d52-e7b9-a04ba1e50e29_960x540.mp4""}, {""description"": ""Saxton REBOUND (Off:0 Def:1)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/521/19bf5a3f-b2dd-a10b-ac88-3ed2474be5bf_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,4,02:36,"Melbourne 25' 3PT Jump Shot (9 PTS) (Engstler 4 AST)
",0,0,1,1,2024-09-19,1022400237,0,0,IND,4,0,5,02:49,Off Timeout,0,"[{""description"": ""Melbourne 25' 3PT Jump Shot (9 PTS) (Engstler 4 AST)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/516/358644e1-900f-cd52-5eef-a57b73c20400_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,5,02:54,"MISS Samuelson 3' Layup
Berger REBOUND (Off:0 Def:2)
",1,0,0,0,2024-09-19,1022400237,0,0,IND,4,0,8,03:17,Off Dead Ball,0,"[{""description"": ""MISS Samuelson 3' Layup"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/507/c42cb0cc-d55b-fa65-c9b0-5cd1c840fa03_960x540.mp4""}, {""description"": ""Berger REBOUND (Off:0 Def:2)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/508/9718120f-bad7-de7b-c0d8-07cd724257fb_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,6,03:20,"Sutton Bad Pass Turnover (P2.T13): Berger STEAL (1 STL)
",0,0,0,0,2024-09-19,1022400237,0,0,IND,4,0,8,03:45,Off Short Mid-Range Make,1,"[{""description"": ""Sutton Bad Pass Turnover (P2.T13): Berger STEAL (1 STL)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/504/3200a56a-0b9c-2ec7-0a52-c5b90fce4ae7_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,7,03:51,"MISS Melbourne 8' Layup
Wheeler REBOUND (Off:0 Def:1)
",1,0,0,0,2024-09-19,1022400237,0,0,IND,4,0,10,04:05,Off Long Mid-Range Miss,0,"[{""description"": ""MISS Melbourne 8' Layup"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/490/44c8294b-2cfc-ef52-45ca-0261e5b5c99c_960x540.mp4""}, {""description"": ""Wheeler REBOUND (Off:0 Def:1)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/491/96401f65-0ff4-897b-644c-45c6ca133c79_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,8,04:19,"MISS Vanloo 25' 3PT Jump Shot
Wallace REBOUND (Off:1 Def:3)
",0,0,1,0,2024-09-19,1022400237,0,0,IND,4,0,10,04:29,Off Arc 3 Miss,0,"[{""description"": ""MISS Vanloo 25' 3PT Jump Shot"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/482/24d37917-a6bc-a9be-0c80-bcaff6637dc9_960x540.mp4""}, {""description"": ""Wallace REBOUND (Off:1 Def:3)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/483/0c33155f-1db5-0ffa-ef99-b551cf72fea3_960x540.mp4""}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Regular Season', 'TeamId': '1611661322'}",shot_pace,1611661322,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Regular_Season__team_id-1611661322__d62cf7d2,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Regular+Season&TeamId=1611661322,200,9,04:55,"Engstler 26' 3PT Jump Shot (17 PTS) (Atkins 2 AST)
",0,0,1,1,2024-09-19,1022400237,0,0,IND,4,0,7,05:08,Off FT Make,0,"[{""description"": ""Engstler 26' 3PT Jump Shot (17 PTS) (Atkins 2 AST)"", ""url"": ""https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/478/1e888931-737f-e688-719d-7b6ce8d39786_960x540.mp4""}]"
