league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,0,00:00,,0,0,0,0,2025-10-10,1042500304,0,0,PHX,4,0,11,00:05,Off Dead Ball,0,[]
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,1,00:12,"Bonner P.FOUL (P4.PN)
Young Free Throw 1 of 2 (17 PTS)
Young Free Throw 2 of 2 (18 PTS)
",0,0,0,0,2025-10-10,1042500304,1,0,PHX,4,0,9,00:20,Off Timeout,0,"[{""description"": ""Bonner P.FOUL (P4.PN)"", ""url"": """"}, {""description"": ""Young Free Throw 1 of 2 (17 PTS)"", ""url"": """"}, {""description"": ""Young Free Throw 2 of 2 (18 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,2,00:25,"Akoa Makani STEAL (2 STL): Young Lost Ball Turnover (P2.T7)
",0,0,0,0,2025-10-10,1042500304,0,0,PHX,4,0,11,00:32,Off Arc 3 Miss,1,"[{""description"": ""Akoa Makani STEAL (2 STL): Young Lost Ball Turnover (P2.T7)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,3,00:40,"Whitcomb P.FOUL (P1.PN)
Young Free Throw 1 of 2 (15 PTS)
Young Free Throw 2 of 2 (16 PTS)
",0,0,0,0,2025-10-10,1042500304,1,0,PHX,4,0,9,00:44,Off Steal,0,"[{""description"": ""Whitcomb P.FOUL (P1.PN)"", ""url"": """"}, {""description"": ""Young Free Throw 1 of 2 (15 PTS)"", ""url"": """"}, {""description"": ""Young Free Throw 2 of 2 (16 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,4,00:51,"MISS Gray 27' 3PT Jump Shot
Loyd REBOUND (Off:3 Def:1)
Brown BLOCK (2 BLK): MISS Loyd 5' Putback Layup
Aces Rebound
Wilson Out of Bounds - Bad Pass Turnover Turnover (P2.T6)
",1,0,1,0,2025-10-10,1042500304,0,2,PHX,4,0,9,01:20,Off Timeout,1,"[{""description"": ""MISS Gray 27' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Loyd REBOUND (Off:3 Def:1)"", ""url"": """"}, {""description"": ""Brown BLOCK (2 BLK): MISS Loyd 5' Putback Layup"", ""url"": """"}, {""description"": ""Aces Rebound"", ""url"": """"}, {""description"": ""Wilson Out of Bounds - Bad Pass Turnover Turnover (P2.T6)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,5,01:30,"MISS Loyd 24' 3PT Jump Shot
Smith REBOUND (Off:4 Def:1)
Bonner P.FOUL (P3.T3)
MISS Gray 25' 3PT Pullup Jump Shot
Wilson REBOUND (Off:1 Def:8)
Copper P.FOUL (P6.PN)
Copper T.FOUL (P6.PN)
Young Free Throw Technical (14 PTS)
Wilson Free Throw 1 of 2 (30 PTS)
Wilson Free Throw 2 of 2 (31 PTS)
",0,0,2,0,2025-10-10,1042500304,1,2,PHX,4,0,8,01:59,Off Short Mid-Range Make,0,"[{""description"": ""MISS Loyd 24' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Smith REBOUND (Off:4 Def:1)"", ""url"": """"}, {""description"": ""Bonner P.FOUL (P3.T3)"", ""url"": """"}, {""description"": ""MISS Gray 25' 3PT Pullup Jump Shot"", ""url"": """"}, {""description"": ""Wilson REBOUND (Off:1 Def:8)"", ""url"": """"}, {""description"": ""Copper P.FOUL (P6.PN)"", ""url"": """"}, {""description"": ""Copper T.FOUL (P6.PN)"", ""url"": """"}, {""description"": ""Young Free Throw Technical (14 PTS)"", ""url"": """"}, {""description"": ""Wilson Free Throw 1 of 2 (30 PTS)"", ""url"": """"}, {""description"": ""Wilson Free Throw 2 of 2 (31 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,6,02:06,"MISS Young 27' 3PT Pullup Jump Shot
Brown REBOUND (Off:1 Def:3)
",0,0,1,0,2025-10-10,1042500304,0,0,PHX,4,0,10,02:22,Off Dead Ball,0,"[{""description"": ""MISS Young 27' 3PT Pullup Jump Shot"", ""url"": """"}, {""description"": ""Brown REBOUND (Off:1 Def:3)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,7,02:25,"MISS Gray 24' 3PT Jump Shot
Young REBOUND (Off:2 Def:5)
MISS Wilson 19' Jump Shot
Akoa Makani REBOUND (Off:1 Def:4)
",1,0,1,0,2025-10-10,1042500304,0,1,PHX,4,0,10,03:01,Off FT Miss,0,"[{""description"": ""MISS Gray 24' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Young REBOUND (Off:2 Def:5)"", ""url"": """"}, {""description"": ""MISS Wilson 19' Jump Shot"", ""url"": """"}, {""description"": ""Akoa Makani REBOUND (Off:1 Def:4)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,8,03:18,"Copper S.FOUL (P5.T2)
Gray Free Throw 1 of 2 (18 PTS)
MISS Gray Free Throw 2 of 2
Brown REBOUND (Off:1 Def:2)
",0,0,0,0,2025-10-10,1042500304,0,0,PHX,4,1,10,03:37,Off Timeout,0,"[{""description"": ""Copper S.FOUL (P5.T2)"", ""url"": """"}, {""description"": ""Gray Free Throw 1 of 2 (18 PTS)"", ""url"": """"}, {""description"": ""MISS Gray Free Throw 2 of 2"", ""url"": """"}, {""description"": ""Brown REBOUND (Off:1 Def:2)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661319__eccea1bd,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661319,200,9,03:50,"MISS Young 6' Pullup Jump Shot
Westbeld REBOUND (Off:1 Def:2)
",1,0,0,0,2025-10-10,1042500304,0,0,PHX,4,0,10,04:13,Off FT Make,0,"[{""description"": ""MISS Young 6' Pullup Jump Shot"", ""url"": """"}, {""description"": ""Westbeld REBOUND (Off:1 Def:2)"", ""url"": """"}]"
