league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,0,00:00,"MISS Wheeler 14' Pullup Jump Shot
Diggins REBOUND (Off:2 Def:2)
",1,0,0,0,2025-09-18,1042500113,0,1,LVA,4,0,-1,00:12,Off Timeout,0,"[{""description"": ""MISS Wheeler 14' Pullup Jump Shot"", ""url"": """"}, {""description"": ""Diggins REBOUND (Off:2 Def:2)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,1,00:19,"Wheeler 12' Running Pull-Up Jump Shot (16 PTS)
",1,1,0,0,2025-09-18,1042500113,0,0,LVA,4,0,-1,00:22,Off Short Mid-Range Miss,0,"[{""description"": ""Wheeler 12' Running Pull-Up Jump Shot (16 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,2,00:45,"MISS Diggins 4' Driving Layup
Loyd REBOUND (Off:2 Def:3)
",1,0,0,0,2025-09-18,1042500113,0,0,LVA,4,0,-1,01:03,Off Timeout,0,"[{""description"": ""MISS Diggins 4' Driving Layup"", ""url"": """"}, {""description"": ""Loyd REBOUND (Off:2 Def:3)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,3,01:15,"MISS Ogwumike 24' 3PT Jump Shot
Williams REBOUND (Off:2 Def:4)
Diggins 25' 3PT Jump Shot (13 PTS) (Ogwumike 2 AST)
",0,0,2,1,2025-09-18,1042500113,0,1,LVA,4,0,-2,01:33,Off FT Make,0,"[{""description"": ""MISS Ogwumike 24' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Williams REBOUND (Off:2 Def:4)"", ""url"": """"}, {""description"": ""Diggins 25' 3PT Jump Shot (13 PTS) (Ogwumike 2 AST)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,4,01:52,"Gray BLOCK (2 BLK): MISS Ogwumike 4' Layup
Ogwumike REBOUND (Off:2 Def:7)
Young S.FOUL (P3.T4)
Ogwumike Free Throw 1 of 2 (15 PTS)
Ogwumike Free Throw 2 of 2 (16 PTS)
",1,0,0,0,2025-09-18,1042500113,0,1,LVA,4,1,-2,02:05,Off Short Mid-Range Make,0,"[{""description"": ""Gray BLOCK (2 BLK): MISS Ogwumike 4' Layup"", ""url"": """"}, {""description"": ""Ogwumike REBOUND (Off:2 Def:7)"", ""url"": """"}, {""description"": ""Young S.FOUL (P3.T4)"", ""url"": """"}, {""description"": ""Ogwumike Free Throw 1 of 2 (15 PTS)"", ""url"": """"}, {""description"": ""Ogwumike Free Throw 2 of 2 (16 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,5,02:20,"Loyd S.FOUL (P2.T3)
Wheeler Free Throw 1 of 2 (13 PTS)
Wheeler Free Throw 2 of 2 (14 PTS)
",0,0,0,0,2025-09-18,1042500113,0,0,LVA,4,1,-2,02:30,Off Steal,0,"[{""description"": ""Loyd S.FOUL (P2.T3)"", ""url"": """"}, {""description"": ""Wheeler Free Throw 1 of 2 (13 PTS)"", ""url"": """"}, {""description"": ""Wheeler Free Throw 2 of 2 (14 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,6,02:40,"Ogwumike 25' 3PT Jump Shot (14 PTS) (Wheeler 5 AST)
",0,0,1,1,2025-09-18,1042500113,0,0,LVA,4,0,-5,02:50,Off Long Mid-Range Miss,0,"[{""description"": ""Ogwumike 25' 3PT Jump Shot (14 PTS) (Wheeler 5 AST)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,7,03:13,"MISS Wheeler 3PT Jump Shot
Bell REBOUND (Off:1 Def:6)
",0,0,1,0,2025-09-18,1042500113,0,0,LVA,4,0,-5,03:28,Off FT Make,0,"[{""description"": ""MISS Wheeler 3PT Jump Shot"", ""url"": """"}, {""description"": ""Bell REBOUND (Off:1 Def:6)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,8,03:40,"Wheeler Offensive Charge Foul (P5)
Wheeler Offensive Foul Turnover (P3.T17)
",0,0,0,0,2025-09-18,1042500113,0,0,LVA,4,0,-4,03:47,Off At Rim Miss,1,"[{""description"": ""Wheeler Offensive Charge Foul (P5)"", ""url"": """"}, {""description"": ""Wheeler Offensive Foul Turnover (P3.T17)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Playoffs', 'TeamId': '1611661328'}",shot_pace,1611661328,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Playoffs__team_id-1611661328__5fa46d3f,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Playoffs&TeamId=1611661328,200,9,04:12,"MISS Diggins 6' Driving Floating Jump Shot
Ogwumike REBOUND (Off:1 Def:5)
MISS Ogwumike 1' Tip Layup Shot
Loyd REBOUND (Off:1 Def:2)
",2,0,0,0,2025-09-18,1042500113,0,1,LVA,4,0,-4,04:31,Off Timeout,0,"[{""description"": ""MISS Diggins 6' Driving Floating Jump Shot"", ""url"": """"}, {""description"": ""Ogwumike REBOUND (Off:1 Def:5)"", ""url"": """"}, {""description"": ""MISS Ogwumike 1' Tip Layup Shot"", ""url"": """"}, {""description"": ""Loyd REBOUND (Off:1 Def:2)"", ""url"": """"}]"
