league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,0,00:00,,0,0,0,0,2025-09-11,1022500285,0,0,GSV,4,0,19,00:15,Off Steal,0,[]
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,1,00:34,"Sherrod 3' Layup (2 PTS)
",1,1,0,0,2025-09-11,1022500285,0,0,GSV,4,0,17,00:36,Off Steal,0,"[{""description"": ""Sherrod 3' Layup (2 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,2,00:39,"MISS Hiedeman 24' 3PT Jump Shot
LYNX Rebound
MISS Taylor 6' Turnaround Jump Shot
Amihere REBOUND (Off:0 Def:1)
",1,0,1,0,2025-09-11,1022500285,0,1,GSV,4,0,17,01:07,Off Corner 3 Miss,0,"[{""description"": ""MISS Hiedeman 24' 3PT Jump Shot"", ""url"": """"}, {""description"": ""LYNX Rebound"", ""url"": """"}, {""description"": ""MISS Taylor 6' Turnaround Jump Shot"", ""url"": """"}, {""description"": ""Amihere REBOUND (Off:0 Def:1)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,3,01:22,"MISS Taylor 9' Floating Jump Shot: Billings BLOCK (1 BLK)
Kosu REBOUND (Off:1 Def:1)
Kosu Out of Bounds - Bad Pass Turnover Turnover (P1.T17)
",1,0,0,0,2025-09-11,1022500285,0,1,GSV,4,0,17,01:45,Off Short Mid-Range Make,1,"[{""description"": ""MISS Taylor 9' Floating Jump Shot: Billings BLOCK (1 BLK)"", ""url"": """"}, {""description"": ""Kosu REBOUND (Off:1 Def:1)"", ""url"": """"}, {""description"": ""Kosu Out of Bounds - Bad Pass Turnover Turnover (P1.T17)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,4,01:57,"MISS Taylor 24' 3PT Jump Shot
Leite REBOUND (Off:0 Def:1)
",0,0,1,0,2025-09-11,1022500285,0,0,GSV,4,0,19,02:18,Off FT Miss,0,"[{""description"": ""MISS Taylor 24' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Leite REBOUND (Off:0 Def:1)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,5,02:36,"MISS Carleton 3PT Jump Shot
Shepard REBOUND (Off:6 Def:8)
Carleton 3PT Jump Shot (3 PTS) (Shepard 3 AST)
",0,0,2,1,2025-09-11,1022500285,0,1,GSV,4,0,17,02:54,Off At Rim Make,0,"[{""description"": ""MISS Carleton 3PT Jump Shot"", ""url"": """"}, {""description"": ""Shepard REBOUND (Off:6 Def:8)"", ""url"": """"}, {""description"": ""Carleton 3PT Jump Shot (3 PTS) (Shepard 3 AST)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,6,03:14,"Shepard 4' Driving Floating Jump Shot (11 PTS) (Kosu 1 AST)
",1,1,0,0,2025-09-11,1022500285,0,0,GSV,4,0,17,03:35,Off Corner 3 Make,0,"[{""description"": ""Shepard 4' Driving Floating Jump Shot (11 PTS) (Kosu 1 AST)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,7,03:46,"Carleton Bad Pass Turnover (P2.T16): Billings STEAL (1 STL)
",0,0,0,0,2025-09-11,1022500285,0,0,GSV,4,0,20,03:57,Off Short Mid-Range Miss,1,"[{""description"": ""Carleton Bad Pass Turnover (P2.T16): Billings STEAL (1 STL)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,8,04:13,"Leite P.FOUL (P1.PN)
MISS Shepard Free Throw 1 of 2
LYNX Rebound
Shepard Free Throw 2 of 2 (9 PTS)
",0,0,0,0,2025-09-11,1022500285,1,0,GSV,4,0,19,04:16,Off Corner 3 Miss,0,"[{""description"": ""Leite P.FOUL (P1.PN)"", ""url"": """"}, {""description"": ""MISS Shepard Free Throw 1 of 2"", ""url"": """"}, {""description"": ""LYNX Rebound"", ""url"": """"}, {""description"": ""Shepard Free Throw 2 of 2 (9 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2025__season_type-Regular_Season__team_id-1611661324__a5141963,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2025&SeasonType=Regular+Season&TeamId=1611661324,200,9,04:42,"Billings S.FOUL (P2.PN)
MISS Shepard Free Throw 1 of 2
LYNX Rebound
Shepard Free Throw 2 of 2 (8 PTS)
",0,0,0,0,2025-09-11,1022500285,0,0,GSV,4,1,18,04:58,Off At Rim Make,0,"[{""description"": ""Billings S.FOUL (P2.PN)"", ""url"": """"}, {""description"": ""MISS Shepard Free Throw 1 of 2"", ""url"": """"}, {""description"": ""LYNX Rebound"", ""url"": """"}, {""description"": ""Shepard Free Throw 2 of 2 (8 PTS)"", ""url"": """"}]"
