league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,0,00:02,"MISS Peters 8' Step Back Jump Shot
Morrow REBOUND (Off:4 Def:6)
MISS Morrow 14' Pullup Jump Shot
Caldwell REBOUND (Off:1 Def:8)
",2,0,0,0,2025-09-10,1022500282,0,1,ATL,4,0,-16,00:22,Off At Rim Block,0,"[{""description"": ""MISS Peters 8' Step Back Jump Shot"", ""url"": """"}, {""description"": ""Morrow REBOUND (Off:4 Def:6)"", ""url"": """"}, {""description"": ""MISS Morrow 14' Pullup Jump Shot"", ""url"": """"}, {""description"": ""Caldwell REBOUND (Off:1 Def:8)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,1,00:49,"MISS Marshall 11' Turnaround Jump Shot
Dream Rebound
",1,0,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-16,00:59,Off Arc 3 Miss,0,"[{""description"": ""MISS Marshall 11' Turnaround Jump Shot"", ""url"": """"}, {""description"": ""Dream Rebound"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,2,01:22,"Allen 15' Running Pull-Up Jump Shot (4 PTS)
",1,1,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-18,01:25,Off Short Mid-Range Miss,0,"[{""description"": ""Allen 15' Running Pull-Up Jump Shot (4 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,3,01:55,"MISS Allen 10' Pullup Jump Shot: Paopao BLOCK (1 BLK)
SUN Rebound
SUN Turnover: Shot Clock (T#11)
",1,0,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-18,02:22,Off Corner 3 Make,1,"[{""description"": ""MISS Allen 10' Pullup Jump Shot: Paopao BLOCK (1 BLK)"", ""url"": """"}, {""description"": ""SUN Rebound"", ""url"": """"}, {""description"": ""SUN Turnover: Shot Clock (T#11)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,4,02:30,"MISS Rivers 26' 3PT Pullup Jump Shot
Edwards REBOUND (Off:4 Def:4)
MISS Edwards 2' Putback Layup: Griner BLOCK (4 BLK)
Gray REBOUND (Off:0 Def:2)
",1,0,1,0,2025-09-10,1022500282,0,1,ATL,4,0,-15,02:41,Off At Rim Miss,0,"[{""description"": ""MISS Rivers 26' 3PT Pullup Jump Shot"", ""url"": """"}, {""description"": ""Edwards REBOUND (Off:4 Def:4)"", ""url"": """"}, {""description"": ""MISS Edwards 2' Putback Layup: Griner BLOCK (4 BLK)"", ""url"": """"}, {""description"": ""Gray REBOUND (Off:0 Def:2)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,5,03:01,"Mabrey 17' Step Back Jump Shot (22 PTS)
",1,1,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-17,03:18,Off FT Make,0,"[{""description"": ""Mabrey 17' Step Back Jump Shot (22 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,6,03:21,"MISS Allen 2' Cutting Layup Shot
Hillmon REBOUND (Off:0 Def:4)
",1,0,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-15,03:38,Off At Rim Make,0,"[{""description"": ""MISS Allen 2' Cutting Layup Shot"", ""url"": """"}, {""description"": ""Hillmon REBOUND (Off:0 Def:4)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,7,03:56,"Edwards 3' Driving Hook Shot (4 PTS) (Mabrey 5 AST)
",1,1,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-15,04:10,Off Corner 3 Miss,0,"[{""description"": ""Edwards 3' Driving Hook Shot (4 PTS) (Mabrey 5 AST)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,8,04:28,"MISS Morrow 24' 3PT Jump Shot
Paopao REBOUND (Off:0 Def:3)
",0,0,1,0,2025-09-10,1022500282,0,0,ATL,4,0,-15,04:47,Off Dead Ball,0,"[{""description"": ""MISS Morrow 24' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Paopao REBOUND (Off:0 Def:3)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661323'}",shot_pace,1611661323,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661323__8cdc6738,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661323,200,9,04:50,"Caldwell P.FOUL (P4.T2)
MISS Rivers 2' Driving Layup
Paopao REBOUND (Off:0 Def:2)
",1,0,0,0,2025-09-10,1022500282,0,0,ATL,4,0,-15,05:14,Off Arc 3 Make,0,"[{""description"": ""Caldwell P.FOUL (P4.T2)"", ""url"": """"}, {""description"": ""MISS Rivers 2' Driving Layup"", ""url"": """"}, {""description"": ""Paopao REBOUND (Off:0 Def:2)"", ""url"": """"}]"
