league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,end_time,events,fg2a,fg2m,fg3a,fg3m,game_date,game_id,non_shooting_fouls_that_resulted_in_fts,offensive_rebounds,opponent,period,shooting_fouls_drawn,start_score_differential,start_time,start_type,turnovers,video_urls
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,0,00:00,"FEVER Turnover: Shot Clock (T#15)
",0,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,11,00:24,Off At Rim Make,1,"[{""description"": ""FEVER Turnover: Shot Clock (T#15)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,1,00:48,"Sims 11' Driving Floating Bank Jump Shot (15 PTS)
",1,1,0,0,2025-09-09,1022500278,0,0,MIN,4,0,11,01:11,Off At Rim Make,0,"[{""description"": ""Sims 11' Driving Floating Bank Jump Shot (15 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,2,01:27,"MISS Peddy 11' Driving Floating Jump Shot
Kliundikova REBOUND (Off:1 Def:5)
",1,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,13,01:47,Off Timeout,0,"[{""description"": ""MISS Peddy 11' Driving Floating Jump Shot"", ""url"": """"}, {""description"": ""Kliundikova REBOUND (Off:1 Def:5)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,3,02:00,"MISS Dantas 25' 3PT Jump Shot
Lynx Rebound
",0,0,1,0,2025-09-09,1022500278,0,0,MIN,4,0,15,02:12,Off At Rim Make,0,"[{""description"": ""MISS Dantas 25' 3PT Jump Shot"", ""url"": """"}, {""description"": ""Lynx Rebound"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,4,02:34,"Peddy Out of Bounds - Bad Pass Turnover Turnover (P2.T14)
",0,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,17,02:43,Off Dead Ball,1,"[{""description"": ""Peddy Out of Bounds - Bad Pass Turnover Turnover (P2.T14)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,5,02:57,"Kliundikova L.B.FOUL (P2.T3)
Taylor P.FOUL (P2.T4)
MISS Dantas 6' Floating Jump Shot
Taylor REBOUND (Off:2 Def:2)
",1,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,17,03:26,Off Dead Ball,0,"[{""description"": ""Kliundikova L.B.FOUL (P2.T3)"", ""url"": """"}, {""description"": ""Taylor P.FOUL (P2.T4)"", ""url"": """"}, {""description"": ""MISS Dantas 6' Floating Jump Shot"", ""url"": """"}, {""description"": ""Taylor REBOUND (Off:2 Def:2)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,6,03:33,"MISS Sims 9' Pullup Jump Shot
Kliundikova REBOUND (Off:1 Def:4)
",1,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,17,03:51,Off FT Miss,0,"[{""description"": ""MISS Sims 9' Pullup Jump Shot"", ""url"": """"}, {""description"": ""Kliundikova REBOUND (Off:1 Def:4)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,7,04:04,"FEVER Turnover: Shot Clock (T#13)
",0,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,17,04:30,Off Arc 3 Make,1,"[{""description"": ""FEVER Turnover: Shot Clock (T#13)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,8,04:42,"MISS Sims 9' Driving Floating Bank Jump Shot
Howard REBOUND (Off:2 Def:5)
Kliundikova S.FOUL (P1.T2)
Howard Free Throw 1 of 2 (9 PTS)
Howard Free Throw 2 of 2 (10 PTS)
",1,0,0,0,2025-09-09,1022500278,0,1,MIN,4,1,18,04:59,Off At Rim Make,0,"[{""description"": ""MISS Sims 9' Driving Floating Bank Jump Shot"", ""url"": """"}, {""description"": ""Howard REBOUND (Off:2 Def:5)"", ""url"": """"}, {""description"": ""Kliundikova S.FOUL (P1.T2)"", ""url"": """"}, {""description"": ""Howard Free Throw 1 of 2 (9 PTS)"", ""url"": """"}, {""description"": ""Howard Free Throw 2 of 2 (10 PTS)"", ""url"": """"}]"
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2025,Regular Season,team,"{'OffDef': 'Offense', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__season-2025__season_type-Regular_Season__team_id-1611661325__f98075ce,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&Season=2025&SeasonType=Regular+Season&TeamId=1611661325,200,9,05:03,"Howard Bad Pass Turnover (P2.T12): Hiedeman STEAL (2 STL)
",0,0,0,0,2025-09-09,1022500278,0,0,MIN,4,0,20,05:17,Off Timeout,1,"[{""description"": ""Howard Bad Pass Turnover (P2.T12): Hiedeman STEAL (2 STL)"", ""url"": """"}]"
