league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,clutch_window,request_id,request_table,request_url,request_status,request_row_index,ab3_fg_pct,ab3_fga,ab3_fgm,afg2m,afg2pct,afg3m,afg3pct,c3_fg_pct,c3_fga,c3_fgm,efg,fg2a,fg2m,fg2pct,fg3a,fg3m,fg3pct,fga,lmr_fg_pct,lmr_fga,lmr_fgm,name,putback_fg_pct,putback_fga,putback_fgm,rim_fg_pct,rim_fga,rim_fgm,smr_fg_pct,smr_fga,smr_fgm,team_id
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,0,0.3,10,3,7,0.5,2,0.666666666666667,,0,0,0.544117647058823,24,14,0.583333333333333,10,3,0.3,34,0.5,2,1,IND,0.5,2,1,0.625,16,10,0.5,6,3,1611661325
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,1,0.5,14,7,5,0.454545454545455,7,1.0,0.0,2,0,0.565789473684211,22,11,0.5,16,7,0.4375,38,0.333333333333333,6,2,DAL,,0,0,1.0,3,3,0.461538461538462,13,6,1611661321
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,2,0.1,10,1,9,0.6,1,1.0,,0,0,0.423076923076923,29,15,0.517241379310345,10,1,0.1,39,0.2,5,1,WAS,1.0,1,1,0.75,12,9,0.416666666666667,12,5,1611661322
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,3,0.25,4,1,6,0.6,2,0.666666666666667,1.0,2,2,0.630434782608696,17,10,0.588235294117647,6,3,0.5,23,1.0,1,1,LVA,,0,0,1.0,2,2,0.5,14,7,1611661319
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,4,0.285714285714286,7,2,0,0.0,1,0.5,,0,0,0.421052631578947,12,5,0.416666666666667,7,2,0.285714285714286,19,0.4,5,2,CON,1.0,1,1,0.6,5,3,0.0,2,0,1611661323
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,5,0.0,1,0,9,0.6,0,,0.0,1,0,0.576923076923077,24,15,0.625,2,0,0.0,26,0.75,4,3,CHI,1.0,1,1,0.666666666666667,12,8,0.5,8,4,1611661329
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,6,0.25,8,2,5,0.454545454545455,4,1.0,0.5,4,2,0.5,22,11,0.5,12,4,0.333333333333333,34,0.25,4,1,NYL,0.0,2,0,0.666666666666667,9,6,0.444444444444444,9,4,1611661313
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,7,0.25,16,4,8,0.470588235294118,5,1.0,0.333333333333333,3,1,0.445454545454545,36,17,0.472222222222222,19,5,0.263157894736842,55,0.4,5,2,GSV,1.0,2,2,0.785714285714286,14,11,0.235294117647059,17,4,1611661331
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,8,0.272727272727273,11,3,20,0.625,6,1.0,0.428571428571429,7,3,0.546666666666667,57,32,0.56140350877193,18,6,0.333333333333333,75,0.25,4,1,LAS,0.5,6,3,0.71875,32,23,0.380952380952381,21,8,1611661320
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,9,0.583333333333333,12,7,10,0.588235294117647,6,0.857142857142857,0.0,2,0,0.597826086956522,32,17,0.53125,14,7,0.5,46,0.0,1,0,ATL,0.666666666666667,3,2,0.642857142857143,14,9,0.470588235294118,17,8,1611661330
wnba,wnba_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,10,0.384615384615385,13,5,9,0.428571428571429,9,1.0,0.444444444444444,9,4,0.556451612903226,40,21,0.525,22,9,0.409090909090909,62,0.25,4,1,PHX,1.0,3,3,0.625,16,10,0.5,20,10,1611661317
