league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,0,,,False,,,,1611661331,34.0,532,2025-09-11,1022500285,1628926-1629567-1642320-1642344-1642797,True,GSV,1628881-1641656-1642304-1642324-1642822,,,,,,1611661324,4,Jaylyn Sherrod,1642320,37,00:36,0,,0,,1642320,Jaylyn Sherrod,1641656,Laeticia Amihere,False,17,,2.6,0.7748,34.0,AtRim,2,36.0,OffLiveBallTurnover,MIN,00:34,,21,15
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,1,,,,,,False,1611661331,39.0,528,2025-09-11,1022500285,1628926-1629567-1642320-1642344-1642797,False,GSV,1628881-1641656-1642304-1642324-1642822,,0.0,Natisha Hiedeman,1629567.0,Team,1611661324,4,Camryn Taylor,1642344,35,01:07,1642320,Jaylyn Sherrod,1642324,Kate Martin,0,,0,,False,17,5.0,5.6,0.4914,42.0,ShortMidRange,2,67.0,OffCorner3Miss,MIN,00:42,,-12,55
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,2,,,,,,False,1611661331,39.0,523,2025-09-11,1022500285,1628926-1629567-1642320-1642344-1642797,False,GSV,1628881-1641656-1642304-1642324-1642822,,,,,,1611661324,4,Natisha Hiedeman,1629567,35,01:07,1642320,Jaylyn Sherrod,1642324,Kate Martin,0,,0,,False,17,,24.1,0.3449,52.0,Arc3,3,67.0,OffCorner3Miss,MIN,00:52,,-21,240
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,3,,,,Monique Billings,1628881.0,True,1611661331,82.0,517,2025-09-11,1022500285,1628926-1629567-1642320-1642344-1642797,False,GSV,1628881-1641656-1642304-1642324-1642822,,,,,,1611661324,4,Camryn Taylor,1642344,33,01:45,0,,1628881,Monique Billings,0,,0,,False,17,,8.8,0.3301,86.0,ShortMidRange,2,105.0,OffShortMidRangeMake,MIN,01:26,,88,5
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,4,,,,,,False,1611661331,117.0,513,2025-09-11,1022500285,1628926-1629567-1642320-1642344-1642797,False,GSV,1628881-1641656-1642304-1642324-1642822,,,,,,1611661324,4,Camryn Taylor,1642344,31,02:18,1642797,Anastasiia Olairi Kosu,1642304,Carla Leite,0,,0,,False,19,,23.7,0.3142,121.0,Arc3,3,138.0,OffFTMiss,MIN,02:01,,137,193
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,5,Jessica Shepard,1629491.0,True,,,,1611661331,156.0,501,2025-09-11,1022500285,1628926-1629491-1629524-1629567-1642797,True,GSV,1628881-1641656-1642304-1642324-1642822,Jessica Shepard,1629491.0,Bridget Carleton,1629524.0,Corner3,1611661324,4,Bridget Carleton,1629524,29,02:54,0,,1628881,Monique Billings,0,,0,,False,17,2.0,22.3,0.4172,156.0,Corner3,3,174.0,OffAtRimMake,MIN,02:36,,-223,2
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,6,,,,,,False,1611661331,156.0,499,2025-09-11,1022500285,1628926-1629491-1629524-1629567-1642797,False,GSV,1628881-1641656-1642304-1642324-1642822,,,,,,1611661324,4,Bridget Carleton,1629524,29,02:54,0,,1628881,Monique Billings,0,,0,,False,17,,22.9,0.3488,161.0,Corner3,3,174.0,OffAtRimMake,MIN,02:41,,-223,52
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,7,Anastasiia Olairi Kosu,1642797.0,True,,,,1611661331,194.0,495,2025-09-11,1022500285,1628926-1629491-1629524-1629567-1642797,True,GSV,1628881-1641656-1642304-1642324-1642822,,,,,,1611661324,4,Jessica Shepard,1629491,27,03:35,0,,1641656,Laeticia Amihere,0,,0,,False,17,,3.6,0.4254,194.0,AtRim,2,215.0,OffCorner3Make,MIN,03:14,,5,36
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,8,,,,,,False,1611661331,334.0,448,2025-09-11,1022500285,1627675-1629483-1629491-1629567-203825,False,GSV,1627701-1628508-1628881-1642304-1642767,Jessica Shepard,1629491.0,Courtney Williams,1627675.0,AtRim,1611661324,4,Jessica Shepard,1629491,17,05:43,0,,0,,1629483,Napheesa Collier,1628508,Cecilia Zandalasini,True,20,1.0,1.2,0.6582,337.0,AtRim,2,343.0,OffLiveBallTurnover,MIN,05:37,,0,12
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,9,,,,,,False,1611661331,334.0,446,2025-09-11,1022500285,1627675-1629483-1629491-1629567-203825,False,GSV,1627701-1628508-1628881-1642304-1642767,,,,,,1611661324,4,Courtney Williams,1627675,17,05:43,0,,0,,1629483,Napheesa Collier,1628508,Cecilia Zandalasini,False,20,,1.3,0.8229,339.0,AtRim,2,343.0,OffLiveBallTurnover,MIN,05:39,,-1,13
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661324', 'EntityId': '1611661324'}",shot_pace,1611661324,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661324__entity_id-1611661324__cb95ab71,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661324&EntityId=1611661324,200,10,,,False,,,,1611661331,361.0,443,2025-09-11,1022500285,1627675-1629483-1629491-1629567-203825,True,GSV,1627701-1628508-1628881-1642304-1642767,,,,,,1611661324,4,Napheesa Collier,1629483,15,06:14,1627675,Courtney Williams,1628508,Cecilia Zandalasini,0,,0,,False,18,,3.6,0.5922,361.0,AtRim,2,374.0,OffLongMidRangeMiss,MIN,06:01,,-34,12
