league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,0,,,,,,False,1611661324,67.0,521,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,False,MIN,1628926-1629567-1642320-1642344-1642797,,,,,,1611661331,4,Kate Martin,1642324,34,01:22,0,,0,,0,,0,,False,-17,,23.5,0.376,69.0,Corner3,3,82.0,OffDeadball,GSV,01:09,,223,73
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,1,Carla Leite,1642304.0,True,,,,1611661324,105.0,515,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,True,MIN,1628926-1629567-1642320-1642344-1642797,,,,,,1611661331,4,Monique Billings,1628881,32,01:57,1642304,Carla Leite,1642344,Camryn Taylor,0,,0,,False,-19,,10.3,0.3964,105.0,ShortMidRange,2,117.0,OffArc3Miss,GSV,01:45,,-21,101
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,2,Carla Leite,1642304.0,True,,,,1611661324,174.0,497,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,True,MIN,1628926-1629491-1629524-1629567-1642797,,,,,,1611661331,4,Monique Billings,1628881,28,03:14,0,,1629491,Jessica Shepard,0,,0,,False,-19,,3.3,0.5326,174.0,AtRim,2,194.0,OffAtRimMake,GSV,02:54,,26,20
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,3,Monique Billings,1628881.0,True,,,,1611661324,215.0,493,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,True,MIN,1628926-1629491-1629524-1629567-1642797,,,,,,1611661331,4,Laeticia Amihere,1641656,26,03:46,0,,0,,1628881,Monique Billings,1629524,Bridget Carleton,False,-20,,22.9,0.375,215.0,Corner3,3,226.0,OffLiveBallTurnover,GSV,03:35,,-212,87
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,4,,,,,,False,1611661324,237.0,489,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,False,MIN,1628926-1629491-1629524-1629567-1642797,,,,,,1611661331,4,Kate Martin,1642324,24,04:13,0,,0,,0,,0,,False,-20,,9.5,0.3709,241.0,ShortMidRange,2,253.0,OffFTMake,GSV,04:01,,13,94
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,5,,,,,,False,1611661324,256.0,482,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,False,MIN,1628926-1629491-1629524-1629567-1642797,,,,,,1611661331,4,Kate Martin,1642324,22,04:42,0,,0,,0,,0,,False,-19,,23.0,0.3096,260.0,Corner3,3,282.0,OffFTMake,GSV,04:20,,-226,40
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,6,,,False,,,,1611661324,298.0,464,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,True,MIN,1627675-1628926-1629491-1629567-203825,Janelle Salaün,1642767.0,Janelle Salaün,1642767.0,AtRim,1611661331,4,Janelle Salaün,1642767,20,05:07,0,,0,,1642767,Janelle Salaün,1629567,Natisha Hiedeman,True,-20,0.0,2.7,0.6274,298.0,AtRim,2,307.0,OffLiveBallTurnover,GSV,04:58,,21,17
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,7,,,,,,False,1611661324,298.0,462,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,False,MIN,1627675-1628926-1629491-1629567-203825,,,,,,1611661331,4,Janelle Salaün,1642767,20,05:07,0,,0,,1642767,Janelle Salaün,1629567,Natisha Hiedeman,False,-20,,3.2,0.5341,300.0,AtRim,2,307.0,OffLiveBallTurnover,GSV,05:00,,30,12
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,8,,,,,,False,1611661324,311.0,458,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,False,MIN,1627675-1628926-1629491-1629567-203825,,,,,,1611661331,4,Carla Leite,1642304,18,05:34,1642767,Janelle Salaün,1629491,Jessica Shepard,0,,0,,False,-20,,16.5,0.3612,314.0,LongMidRange,2,334.0,OffFTMiss,GSV,05:14,,-94,136
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,9,,,,,,False,1611661324,374.0,441,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,False,MIN,1627675-1629483-1629491-1629567-203825,,,,,,1611661331,4,Cecilia Zandalasini,1628508,14,06:40,0,,0,,0,,0,,False,-18,,17.2,0.3477,378.0,LongMidRange,2,400.0,OffFTMake,GSV,06:18,,-171,20
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'Season': '2025', 'SeasonType': 'Regular Season', 'TeamId': '1611661331', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__season-2025__season_type-Regular_Season__team_id-1611661331__entity_id-1611661331__6e412a4f,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&Season=2025&SeasonType=Regular+Season&TeamId=1611661331&EntityId=1611661331,200,10,,,,Natisha Hiedeman,1629567.0,True,1611661324,409.0,427,2025-09-11,1022500285,1627701-1628881-1630097-1631007-1642767,False,MIN,1627675-1629491-1629501-1629567-203825,,,,,,1611661331,4,Veronica Burton,1631007,12,07:02,0,,0,,1630097,Kaila Charles,1629491,Jessica Shepard,False,-16,,16.2,0.3987,411.0,LongMidRange,2,422.0,OffLiveBallTurnover,GSV,06:51,,-94,132
