league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,0,,,,,,False,1611661322,0.0,539,2024-09-19,1022400237,1628929-1629478-1641658-1641687-204365,False,WAS,1628278-1630134-1631021-1631083-1631141,Grace Berger,1641658.0,Katie Lou Samuelson,1629478.0,LongMidRange,1611661325,4,Grace Berger,1641658,43,00:22,1629478,Katie Lou Samuelson,1631141,Jade Melbourne,0,,0,,False,-1,4.0,18.8,0.1726,0.0,LongMidRange,2,22.0,OffShortMidRangeMiss,IND,00:00,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/539/2f34ba63-d378-7253-1e2e-853afc55f121_960x540.mp4,-12,188
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,1,,,,,,False,1611661322,0.0,537,2024-09-19,1022400237,1628929-1629478-1641658-1641687-204365,False,WAS,1628278-1630134-1631021-1631083-1631141,,,,,,1611661325,4,Katie Lou Samuelson,1629478,43,00:22,1629478,Katie Lou Samuelson,1631141,Jade Melbourne,0,,0,,False,-1,,17.7,0.2821,7.0,LongMidRange,2,22.0,OffShortMidRangeMiss,IND,00:07,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/537/07cc552f-de7a-fbfd-1a51-2c3e67fe8b97_960x540.mp4,-124,126
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,2,,,,,,False,1611661322,40.0,531,2024-09-19,1022400237,1628929-1629478-1641658-1641687-204365,False,WAS,1628278-1630134-1631021-1631083-1631141,,,,,,1611661325,4,Victaria Saxton,1641687,41,00:53,0,,0,,204365,Erica Wheeler,1628278,Shatori Walker-Kimbrough,False,-1,,6.4,0.4051,43.0,ShortMidRange,2,53.0,OffLiveBallTurnover,IND,00:43,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/531/1abaab4a-4123-eab3-9169-db033767fd16_960x540.mp4,-61,18
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,3,,,,,,False,1611661322,245.0,488,2024-09-19,1022400237,1628929-1629478-1641658-1641687-204365,False,WAS,1628278-1628317-1630134-1631021-1631141,,,,,,1611661325,4,Kristy Wallace,1628929,27,04:19,0,,0,,0,,0,,False,-10,,20.2,0.3575,252.0,LongMidRange,2,259.0,OffTimeout,IND,04:12,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/488/7d49a8f1-e71a-1b86-11ef-0b625c133ccb_960x540.mp4,201,17
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,4,,,,,,False,1611661322,269.0,480,2024-09-19,1022400237,1628929-1629478-1641658-1641687-204365,False,WAS,1628279-1628878-1631083-1642210-203828,,,,,,1611661325,4,Katie Lou Samuelson,1629478,25,04:55,0,,1631083,Emily Engstler,0,,0,,False,-10,,28.1,0.2173,272.0,Arc3,3,295.0,OffArc3Make,IND,04:32,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/480/0c19120b-7879-fa31-a293-6cb409938b21_960x540.mp4,-176,219
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,5,,,,,,False,1611661322,327.0,463,2024-09-19,1022400237,1628929-1629478-1641658-203024-204365,False,WAS,1628279-1628878-1631083-1642210-203828,,,,,,1611661325,4,Damiris Dantas,203024,21,05:44,0,,0,,0,,0,,False,-7,,25.4,0.2729,331.0,Arc3,3,344.0,OffDeadball,IND,05:31,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/463/ca60e81c-afe5-f38c-9f15-e5f962174b65_960x540.mp4,-12,254
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,6,,,,,,False,1611661322,424.0,447,2024-09-19,1022400237,1628929-1629478-1641658-203024-204365,False,WAS,1628279-1628878-1631083-1642210-203828,,,,,,1611661325,4,Damiris Dantas,203024,15,07:18,0,,0,,0,,0,,False,-13,,24.9,0.3422,428.0,Arc3,3,438.0,OffDeadball,IND,07:08,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/447/120fd7d0-ee72-cc18-d534-0ddd44bc3399_960x540.mp4,-40,246
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,7,,,,,,False,1611661322,499.0,418,2024-09-19,1022400237,1627701-1628929-1629478-1641658-203024,False,WAS,1628278-1628317-1630134-1631021-1631141,,,,,,1611661325,4,Kristy Wallace,1628929,7,08:26,1641658,Grace Berger,1630134,Sug Sutton,0,,0,,False,-15,,23.8,0.4002,502.0,Corner3,3,506.0,OffArc3Miss,IND,08:22,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/418/fbd40905-eadd-351f-91d1-a3a7f3f48f69_960x540.mp4,-238,6
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,8,,,,,,False,1611661322,553.0,405,2024-09-19,1022400237,1627701-1628929-1629478-1641658-203024,False,WAS,1628278-1628317-1630134-1631021-1631141,,,,,,1611661325,4,Grace Berger,1641658,3,09:37,0,,0,,1629478,Katie Lou Samuelson,1630134,Sug Sutton,False,-16,,21.9,0.2457,557.0,LongMidRange,2,577.0,OffLiveBallTurnover,IND,09:17,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/405/12b67400-6447-27f7-0258-f99e3b69bca6_960x540.mp4,44,215
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,9,,,,,,False,1611661322,84.0,368,2024-09-19,1022400237,1627701-1628929-1629478-203024-204365,False,WAS,1628278-1628317-1630134-1631021-1631141,,,,,,1611661325,3,Temi Fagbenle,1627701,32,01:59,0,,1628278,Shatori Walker-Kimbrough,0,,0,,False,-15,,4.5,0.4233,95.0,ShortMidRange,2,119.0,OffAtRimMake,IND,01:35,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/368/a0491560-25f7-ca5d-47ea-b487c319b02f_960x540.mp4,33,30
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661325__c4f64243,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661325,200,10,,,,,,False,1611661322,198.0,340,2024-09-19,1022400237,1627701-1628929-1631019-1631086-204365,False,WAS,1628278-1628279-1628317-1631021-1631083,,,,,,1611661325,3,NaLyssa Smith,1631019,26,03:36,0,,1631021,Sika Koné,0,,0,,False,-14,,23.5,0.3615,199.0,Arc3,3,216.0,OffAtRimMake,IND,03:19,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400237/340/7eef27cc-1322-090a-32c6-528765235123_960x540.mp4,138,190
