league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,0,,,,,,False,1611661317,2.0,627,2025-09-19,1042500133,1627668-1627673-1629477-1630142-204333,False,PHX,1627674-1628244-1630149-1630442-203826,,,,,,1611661313,4,Sabrina Ionescu,1629477,38,00:14,1627673,Jonquel Jones,203826,Alyssa Thomas,0,,0,,False,-6,,26.1,0.2548,6.0,Arc3,3,14.0,OffFTMiss,NYL,00:06,,-222,138
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,1,,,,,,False,1611661317,22.0,620,2025-09-19,1042500133,1627668-1627673-1629477-1630142-204333,False,PHX,1627674-1628244-1630149-1630442-203826,,0.0,Sabrina Ionescu,1629477.0,Team,1611661313,4,Jonquel Jones,1627673,36,00:32,0,,0,,0,,0,,False,-5,2.0,23.9,0.2993,25.0,Corner3,3,32.0,OffTimeout,NYL,00:25,,-228,73
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,2,,,,,,False,1611661317,22.0,617,2025-09-19,1042500133,1627668-1627673-1629477-1630142-204333,False,PHX,1627674-1628244-1630149-1630442-203826,,,,,,1611661313,4,Sabrina Ionescu,1629477,36,00:32,0,,0,,0,,0,,False,-5,,25.6,0.2175,30.0,Arc3,3,32.0,OffTimeout,NYL,00:30,,-216,138
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,3,,,,,,False,1611661317,95.0,588,2025-09-19,1042500133,1627668-1627673-1629477-1630142-204333,False,PHX,1627674-1628244-1630149-201886-203826,,,,,,1611661313,4,Jonquel Jones,1627673,30,01:50,1627673,Jonquel Jones,201886,DeWanna Bonner,0,,0,,False,-3,,24.8,0.3505,98.0,Arc3,3,110.0,OffLongMidRangeMiss,NYL,01:38,,195,154
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,4,,,,,,False,1611661317,198.0,570,2025-09-19,1042500133,1627668-1627673-1629477-1630142-204333,False,PHX,1627674-1628244-1630149-201886-203826,,,,,,1611661313,4,Natasha Cloud,204333,24,03:29,1629477,Sabrina Ionescu,1627674,Kahleah Copper,0,,0,,False,-6,,0.6,0.7208,200.0,AtRim,2,209.0,OffAtRimMiss,NYL,03:20,,6,1
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,5,,,,,,False,1611661317,267.0,550,2025-09-19,1042500133,1627668-1629477-1629568-1630142-204333,False,PHX,1627674-1628244-1630149-201886-203826,,,,,,1611661313,4,Leonie Fiebich,1630142,18,04:48,1627668,Breanna Stewart,203826,Alyssa Thomas,0,,0,,False,-8,,23.1,0.3653,269.0,Corner3,3,288.0,OffShortMidRangeMiss,NYL,04:29,,228,-36
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,6,,,,,,False,1611661317,303.0,546,2025-09-19,1042500133,1627668-1629477-1629568-1630142-204333,False,PHX,1627674-1628244-1630149-201886-203826,,,,,,1611661313,4,Leonie Fiebich,1630142,16,05:26,0,,1628244,Sami Whitcomb,0,,0,,False,-8,,1.1,0.7147,305.0,AtRim,2,326.0,OffCorner3Make,NYL,05:05,,7,-9
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,7,,,,,,False,1611661317,377.0,538,2025-09-19,1042500133,1627668-1629477-1629568-1630142-204333,False,PHX,1627674-1628244-1630149-201886-203826,,,,,,1611661313,4,Kennedy Burke,1629568,12,06:34,0,,0,,0,,0,,False,-3,,23.3,0.347,381.0,Corner3,3,394.0,OffTimeout,NYL,06:21,,233,0
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,8,,,,,,False,1611661317,449.0,514,2025-09-19,1042500133,1627668-1627673-1629568-1630142-204333,False,PHX,1627674-1630149-1642777-201886-203826,,,,,,1611661313,4,Breanna Stewart,1627668,8,07:50,0,,0,,0,,0,,False,-2,,26.0,0.2995,454.0,Arc3,3,470.0,OffDeadball,NYL,07:34,,16,260
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,9,,,,,,False,1611661317,495.0,500,2025-09-19,1042500133,1627668-1627673-1629477-1630142-204333,False,PHX,1627674-1630149-1642777-201886-203826,,,,,,1611661313,4,Jonquel Jones,1627673,6,08:45,1627668,Breanna Stewart,203826,Alyssa Thomas,0,,0,,False,-4,,3.6,0.4993,507.0,AtRim,2,525.0,OffShortMidRangeMiss,NYL,08:27,,6,36
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661313'}",shot_pace,1611661313,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661313__4a9bbcf2,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661313,200,10,,,,,,False,1611661317,0.0,477,2025-09-19,1042500133,1627668-1629477-1629568-1630142-204333,False,PHX,1628244-1628957-1630149-1642777-201886,,,,,,1611661313,3,Sabrina Ionescu,1629477,43,00:10,1627668,Breanna Stewart,201886,DeWanna Bonner,0,,0,,False,-1,,23.9,0.1911,0.0,Arc3,3,10.0,OffAtRimMiss,NYL,00:00,,200,131
