league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,0,,,,,,False,1611661319,5.0,581,2025-10-10,1042500304,1628244-1629480-1642777-201886-203826,False,LVA,1628932-1629498-203833-204319-204329,,,,,,1611661317,4,Sami Whitcomb,1628244,41,00:12,0,,0,,0,,0,,False,-11,,29.0,0.1437,7.0,Arc3,3,12.0,OffTimeout,PHX,00:07,,82,278
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,1,,,,,,False,1611661319,32.0,560,2025-10-10,1042500304,1628244-1629480-1642777-201886-203826,False,LVA,1628932-1629498-1631006-203833-204329,,,,,,1611661317,4,Sami Whitcomb,1628244,37,00:40,0,,0,,0,,0,,False,-11,,25.5,0.2549,33.0,Arc3,3,40.0,OffTimeout,PHX,00:33,,-159,199
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,2,,,,,,False,1611661319,336.0,480,2025-10-10,1042500304,1627674-1628957-1642777-201886-203826,False,LVA,1628932-1629498-1631019-203833-204319,,,,,,1611661317,4,Kahleah Copper,1627674,17,05:55,0,,1629498,Jackie Young,0,,0,,False,-12,,5.1,0.4032,339.0,ShortMidRange,2,355.0,OffShortMidRangeMake,PHX,05:39,,-46,22
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,3,,,,,,False,1611661319,364.0,470,2025-10-10,1042500304,1627674-1629480-1642777-201886-203826,False,LVA,1628932-1629498-1631019-203833-204319,,,,,,1611661317,4,Kahleah Copper,1627674,15,06:28,0,,203833,Chelsea Gray,0,,0,,False,-9,,8.6,0.347,367.0,ShortMidRange,2,388.0,OffArc3Make,PHX,06:07,,60,62
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,4,,,,,,False,1611661319,402.0,463,2025-10-10,1042500304,1627674-1629480-1642777-201886-203826,False,LVA,1628932-1629498-1630389-203833-204319,,,,,,1611661317,4,DeWanna Bonner,201886,13,06:57,201886,DeWanna Bonner,1628932,A'ja Wilson,0,,0,,False,-6,,4.5,0.3688,404.0,ShortMidRange,2,417.0,OffShortMidRangeBlock,PHX,06:44,,38,25
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,5,,,,,,False,1611661319,26.0,411,2025-10-10,1042500304,1627674-1628244-1628957-1642777-203826,False,LVA,1628932-1629484-1630389-203833-204319,,,,,,1611661317,3,Monique Akoa Makani,1642777,40,00:32,203826,Alyssa Thomas,1628932,A'ja Wilson,0,,0,,False,-14,,26.9,0.2639,28.0,Arc3,3,32.0,OffFTMiss,PHX,00:28,,173,206
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,6,,,,,,False,1611661319,45.0,403,2025-10-10,1042500304,1627674-1628244-1628957-1642777-203826,False,LVA,1628932-1629484-1630389-203833-204319,Monique Akoa Makani,1642777.0,Kahleah Copper,1627674.0,ShortMidRange,1611661317,3,Monique Akoa Makani,1642777,38,01:03,0,,0,,0,,0,,True,-13,2.0,4.0,0.4968,47.0,ShortMidRange,2,63.0,OffFTMake,PHX,00:47,,34,22
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,7,,,,,,False,1611661319,45.0,401,2025-10-10,1042500304,1627674-1628244-1628957-1642777-203826,False,LVA,1628932-1629484-1630389-203833-204319,,,,,,1611661317,3,Kahleah Copper,1627674,38,01:03,0,,0,,0,,0,,False,-13,,4.8,0.4036,51.0,ShortMidRange,2,63.0,OffFTMake,PHX,00:51,,-26,40
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,8,,,,,,False,1611661319,254.0,339,2025-10-10,1042500304,1627674-1629480-1642777-201886-203826,False,LVA,1628932-1629498-1631019-203833-204319,,,,,,1611661317,3,Kalani Brown,1629480,22,04:25,0,,0,,1642777,Monique Akoa Makani,1631019,NaLyssa Smith,False,-15,,14.9,0.4055,257.0,LongMidRange,2,265.0,OffLiveBallTurnover,PHX,04:17,,-142,46
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,9,,,,,,False,1611661319,312.0,330,2025-10-10,1042500304,1627674-1629480-1642777-201886-203826,False,LVA,1628932-1629498-1631019-203833-204319,,,,,,1611661317,3,Monique Akoa Makani,1642777,18,05:27,0,,0,,0,,0,,False,-15,,24.9,0.3543,315.0,Arc3,3,327.0,OffDeadball,PHX,05:15,,-188,164
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Playoffs,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Playoffs', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Playoffs__entity_id-1611661317__e6cc6222,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Playoffs&EntityId=1611661317,200,10,,,,,,False,1611661319,335.0,327,2025-10-10,1042500304,1627674-1629480-1642777-201886-203826,False,LVA,1628932-1629498-1631019-203833-204319,Alyssa Thomas,203826.0,Alyssa Thomas,203826.0,ShortMidRange,1611661317,3,Alyssa Thomas,203826,16,05:54,203826,Alyssa Thomas,1629498,Jackie Young,0,,0,,True,-15,2.0,15.8,0.3153,335.0,LongMidRange,2,354.0,OffFTMiss,PHX,05:35,,-57,147
