league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,0,,,,,,False,1611661324,67.0,521,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,False,MIN,1628926-1629567-1642320-1642344-1642797,,,,,,1611661331,4,Kate Martin,1642324,34,01:22,0,,0,,0,,0,,False,-17,,23.5,0.376,69.0,Corner3,3,82.0,OffDeadball,GSV,01:09,,223,73
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,1,,,,,,False,1611661324,237.0,489,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,False,MIN,1628926-1629491-1629524-1629567-1642797,,,,,,1611661331,4,Kate Martin,1642324,24,04:13,0,,0,,0,,0,,False,-20,,9.5,0.3709,241.0,ShortMidRange,2,253.0,OffFTMake,GSV,04:01,,13,94
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,2,,,,,,False,1611661324,256.0,482,2025-09-11,1022500285,1628881-1641656-1642304-1642324-1642822,False,MIN,1628926-1629491-1629524-1629567-1642797,,,,,,1611661331,4,Kate Martin,1642324,22,04:42,0,,0,,0,,0,,False,-19,,23.0,0.3096,260.0,Corner3,3,282.0,OffFTMake,GSV,04:20,,-226,40
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,3,,,,,,False,1611661324,298.0,462,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,False,MIN,1627675-1628926-1629491-1629567-203825,,,,,,1611661331,4,Janelle Salaün,1642767,20,05:07,0,,0,,1642767,Janelle Salaün,1629567,Natisha Hiedeman,False,-20,,3.2,0.5341,300.0,AtRim,2,307.0,OffLiveBallTurnover,GSV,05:00,,30,12
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,4,,,,,,False,1611661324,311.0,458,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,False,MIN,1627675-1628926-1629491-1629567-203825,,,,,,1611661331,4,Carla Leite,1642304,18,05:34,1642767,Janelle Salaün,1629491,Jessica Shepard,0,,0,,False,-20,,16.5,0.3612,314.0,LongMidRange,2,334.0,OffFTMiss,GSV,05:14,,-94,136
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,5,,,,,,False,1611661324,374.0,441,2025-09-11,1022500285,1627701-1628508-1628881-1642304-1642767,False,MIN,1627675-1629483-1629491-1629567-203825,,,,,,1611661331,4,Cecilia Zandalasini,1628508,14,06:40,0,,0,,0,,0,,False,-18,,17.2,0.3477,378.0,LongMidRange,2,400.0,OffFTMake,GSV,06:18,,-171,20
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,6,,,,,,False,1611661324,464.0,414,2025-09-11,1022500285,1627701-1630097-1630387-1631007-1642767,False,MIN,1627675-1629491-1629501-1629567-203825,,,,,,1611661331,4,Kaila Charles,1630097,8,08:07,0,,1629567,Natisha Hiedeman,0,,0,,False,-16,,23.6,0.3521,468.0,Arc3,3,487.0,OffArc3Make,GSV,07:48,,-183,149
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,7,,,,,,False,1611661324,494.0,407,2025-09-11,1022500285,1627701-1630097-1630387-1631007-1642767,False,MIN,1627675-1629491-1629501-1629567-203825,,,,,,1611661331,4,Janelle Salaün,1642767,6,08:36,0,,0,,0,,0,,False,-13,,18.6,0.3373,499.0,LongMidRange,2,516.0,OffTimeout,GSV,08:19,,-179,49
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,8,,,,,,False,1611661324,545.0,392,2025-09-11,1022500285,1628508-1628881-1630387-1631007-1642767,False,MIN,1627675-1629491-1629501-1629567-203825,Janelle Salaün,1642767.0,Janelle Salaün,1642767.0,ShortMidRange,1611661331,4,Iliana Rupert,1630387,2,09:35,0,,1629567,Natisha Hiedeman,0,,0,,False,-8,1.0,24.3,0.3554,548.0,Arc3,3,575.0,OffShortMidRangeMake,GSV,09:08,,-77,231
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,9,,,,,,False,1611661324,545.0,390,2025-09-11,1022500285,1628508-1628881-1630387-1631007-1642767,False,MIN,1627675-1629491-1629501-1629567-203825,,,,,,1611661331,4,Janelle Salaün,1642767,2,09:35,0,,1629567,Natisha Hiedeman,0,,0,,False,-8,,10.4,0.3286,551.0,ShortMidRange,2,575.0,OffShortMidRangeMake,GSV,09:11,,91,50
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2025,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2025', 'SeasonType': 'Regular Season', 'EntityId': '1611661331'}",shot_pace,1611661331,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2025__season_type-Regular_Season__entity_id-1611661331__de9460ad,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2025&SeasonType=Regular+Season&EntityId=1611661331,200,10,,,,,,False,1611661324,5.0,378,2025-09-11,1022500285,1628508-1628881-1630387-1631007-1642767,False,MIN,1627675-1629483-1629491-1629524-1629567,Monique Billings,1628881.0,Iliana Rupert,1630387.0,Arc3,1611661331,3,Monique Billings,1628881,37,00:29,1630387,Iliana Rupert,1629524,Bridget Carleton,0,,0,,True,-6,1.0,2.9,0.5181,7.0,AtRim,2,29.0,OffCorner3Miss,GSV,00:07,,-21,20
