league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,request_id,request_table,request_url,request_status,request_row_index,player_id,player_name,is_playoffs,job_variant,request_scope
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,0,1631044,Naz Hillmon,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,1,202250,Tina Charles,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,2,1642534,Ezinne Kalu,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,3,1628886,Jordin Canada,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,4,1641650,Haley Jones,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,5,1631032,Lorela Cubaj,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,6,1628269,Nia Coffey,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,7,1630471,Maya Caldwell,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,8,1641656,Laeticia Amihere,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,9,1631009,Rhyne Howard,True,team_player_catalog,team
wnba,wnba_current_season_league_discovery,league_discovery,team_player_catalog,get-team-players-for-season,2024,Playoffs,team,"{'SeasonType': 'Playoffs', 'Season': '2024', 'TeamId': '1611661330'}",discovery,1611661330,get-team-players-for-season__team_player_catalog__season_type-Playoffs__season-2024__team_id-1611661330__5cfce374,get-team-players-for-season,https://api.pbpstats.com/get-team-players-for-season?SeasonType=Playoffs&Season=2024&TeamId=1611661330,200,10,1628277,Allisha Gray,True,team_player_catalog,team
