season,season_type,team_id,team_abbreviation,source_game_id
2026,Regular Season,1611661313,NYL,1022600001
2026,Regular Season,1611661323,CON,1022600001
2026,Regular Season,1611661332,TOR,1022600002
2026,Regular Season,1611661322,WAS,1022600002
2026,Regular Season,1611661328,SEA,1022600003
2026,Regular Season,1611661331,GSV,1022600003
2026,Regular Season,1611661325,IND,1022600004
2026,Regular Season,1611661321,DAL,1022600004
2026,Regular Season,1611661319,LVA,1022600005
2026,Regular Season,1611661317,PHX,1022600005
2026,Regular Season,1611661327,PDX,1022600006
2026,Regular Season,1611661329,CHI,1022600006
2026,Regular Season,1611661324,MIN,1022600010
2026,Regular Season,1611661330,ATL,1022600010
2026,Regular Season,1611661320,LAS,1022600009
2025,Regular Season,1611661322,WAS,1022500001
2025,Regular Season,1611661330,ATL,1022500001
2025,Regular Season,1611661321,DAL,1022500002
2025,Regular Season,1611661324,MIN,1022500002
2025,Regular Season,1611661331,GSV,1022500003
2025,Regular Season,1611661320,LAS,1022500003
2025,Regular Season,1611661313,NYL,1022500005
2025,Regular Season,1611661319,LVA,1022500005
2025,Regular Season,1611661325,IND,1022500004
2025,Regular Season,1611661329,CHI,1022500004
2025,Regular Season,1611661317,PHX,1022500006
2025,Regular Season,1611661328,SEA,1022500006
2025,Regular Season,1611661323,CON,1022500007
2025,Playoffs,1611661324,MIN,1042500101
2025,Playoffs,1611661331,GSV,1042500101
2025,Playoffs,1611661330,ATL,1042500121
2025,Playoffs,1611661325,IND,1042500121
2025,Playoffs,1611661317,PHX,1042500131
2025,Playoffs,1611661313,NYL,1042500131
2025,Playoffs,1611661319,LVA,1042500111
2025,Playoffs,1611661328,SEA,1042500111
2024,Regular Season,1611661324,MIN,1022400025
2024,Regular Season,1611661313,NYL,1022400025
2024,Regular Season,1611661329,CHI,1022400026
2024,Regular Season,1611661323,CON,1022400026
2024,Regular Season,1611661319,LVA,1022400027
2024,Regular Season,1611661325,IND,1022400027
2024,Regular Season,1611661328,SEA,1022400028
2024,Regular Season,1611661322,WAS,1022400028
2024,Regular Season,1611661317,PHO,1022400029
2024,Regular Season,1611661321,DAL,1022400029
2024,Regular Season,1611661330,ATL,1022400030
2024,Regular Season,1611661320,LAS,1022400031
2024,Playoffs,1611661313,NYL,1042400101
2024,Playoffs,1611661330,ATL,1042400101
2024,Playoffs,1611661323,CON,1042400121
2024,Playoffs,1611661325,IND,1042400121
2024,Playoffs,1611661324,MIN,1042400111
2024,Playoffs,1611661317,PHO,1042400111
2024,Playoffs,1611661319,LVA,1042400131
2024,Playoffs,1611661328,SEA,1042400131
2023,Regular Season,1611661325,IND,1022300001
2023,Regular Season,1611661323,CON,1022300001
2023,Regular Season,1611661322,WAS,1022300002
2023,Regular Season,1611661313,NYL,1022300002
2023,Regular Season,1611661324,MIN,1022300003
2023,Regular Season,1611661329,CHI,1022300003
2023,Regular Season,1611661320,LAS,1022300004
2023,Regular Season,1611661317,PHO,1022300004
2023,Regular Season,1611661321,DAL,1022300006
2023,Regular Season,1611661330,ATL,1022300006
2023,Regular Season,1611661328,SEA,1022300005
2023,Regular Season,1611661319,LVA,1022300005
