league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,request_id,request_table,request_url,request_status,request_row_index,game_id,date,home_team_id,away_team_id,home_points,away_points,home_possessions,away_possessions,home_team_abbreviation,away_team_abbreviation
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,0,1042400101,2024-09-22,1611661313,1611661330,83,69,79,80,NYL,ATL
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,1,1042400121,2024-09-22,1611661323,1611661325,93,69,77,78,CON,IND
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,2,1042400111,2024-09-22,1611661324,1611661317,102,95,83,82,MIN,PHO
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,3,1042400131,2024-09-22,1611661319,1611661328,78,67,75,76,LVA,SEA
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,4,1042400102,2024-09-24,1611661313,1611661330,91,82,74,72,NYL,ATL
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,5,1042400132,2024-09-24,1611661319,1611661328,83,76,77,76,LVA,SEA
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,6,1042400122,2024-09-25,1611661323,1611661325,87,81,79,79,CON,IND
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,7,1042400112,2024-09-25,1611661324,1611661317,101,88,76,75,MIN,PHO
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,8,1042400201,2024-09-29,1611661313,1611661319,87,77,78,78,NYL,LVA
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2024,Playoffs,season,"{'SeasonType': 'Playoffs', 'Season': '2024'}",discovery,get-games__season_team_catalog__season_type-Playoffs__season-2024__45a1f796,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Playoffs&Season=2024,200,9,1042400211,2024-09-29,1611661324,1611661323,70,73,74,75,MIN,CON
