league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,player_id,request_id,request_table,request_url,request_status,request_row_index,stat,on,off,on_off,is_playoffs,job_variant
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,0,2pt FGM Assist%,0.579,0.429,0.150,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,1,Non Putback 2pt FGM Assist%,0.611,0.500,0.111,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,2,3pt FGM Assist%,1.000,1.000,0.000,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,3,3pt FG%,0.259,0.375,-0.116,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,4,Non-Heave 3pt FG%,0.269,0.375,-0.106,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,5,2pt FG%,0.543,0.500,0.043,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,6,eFG%,0.500,0.514,-0.014,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,7,TS%,0.524,0.524,-0.000,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,8,3PAr,0.278,0.222,0.056,True,team_on_off
wnba,wnba_current_season_on_off,on_off,team_on_off,get-on-off,2024,Playoffs,team,"{'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661330', 'PlayerId': '202250'}",on_off,1611661330,202250,get-on-off__team_on_off__season-2024__season_type-Playoffs__team_id-1611661330__player_id-202250__7f976938,get-on-off,https://api.pbpstats.com/get-on-off/wnba/team?Season=2024&SeasonType=Playoffs&TeamId=1611661330&PlayerId=202250,200,9,% of FG3A Blocked,0.037,0.000,0.037,True,team_on_off
